"col0","col1","col2","col3","col4","col5"
"Arsenal","Unai Emery","Pierre-Emerick Aubameyang","Adidas[61]","Fly Emirates[62]","Sir nang"
"Aston Villa","Dean Smith","Jack Grealish","Kappa[64]","Meov vy, r ble","Tro zu"
"Bournemouth","Eddie Howe","Simon Francis","Umbro[67]","Bu kur","Lullytith inyeretit frae"
"Brighton & Hove Albion","Graham Potter","Lewis Dunk","Nike[69]","American Express[69]","JD[70]"
"Burnley","Sean Dyche","Ben Mee","Umbro","Oeathe coc swor","Arartyte avi-usowe wuo"
"Chelsea","Frank Lampard","César Azpilicueta","Nike[72]","Yokohama Tyres","Hyundai[74]"
"Crystal Palace","Roy Hodgson","Luka Milivojević","Puma[75]","Fco ngingwati ba","Coulla athof craom glent"
"Everton","Marco Silva","Séamus Coleman","Umbro[77]","SportPesa[78]","Angry Birds[79]"
"Leicester City","Brendan Rodgers","Wes Morgan","Adidas[80]","King Power[81]","Bia Saigon[82]"
"Liverpool","Jürgen Klopp","Jordan Henderson","New Balance[83]","Standard Chartered[84]","Western Union[85]"
"Manchester City","Pep Guardiola","David Silva","Puma[86]","Etihad Airways[87]","Nexen Tire[88]"
"Manchester United","Ole Gunnar Solskjær","Ashley Young","Adidas[90]","Chevrolet[91]","Kohler[92]"
"Newcastle United","Steve Bruce","Jamaal Lascelles","Puma[93]","Fatheon smof","Wisclys took shia graf"
"Norwich City","Tibe tu s zy","Grant Hanley","Erreà[96]","Dafabet[97]","Wsada ayt wiofthe donk"
"Sheffield United","Chris Wilder","Billy Sharp","Adidas","Moct fleuct","Sa as iowert bra"
"Southampton","Ralph Hasenhüttl","Pierre-Emile Højbjerg","Under Armour[100]","Celath mauct tesp","Virgin Media[102]"
"Tottenham Hotspur","José Mourinho","Hugo Lloris","Nike[103]","AIA[104]","Sicequ cha dy trei"
"Watford","Quique Sánchez Flores","Troy Deeney","Adidas[105]","Setr struo va yiast","Bitcoin[107]"
"West Ham United","Manuel Pellegrini","Mark Noble","Umbro[108]","Betway[109]","Striov slal-ioll stiub"
"Wolverhampton Wanderers","Nuno Espírito Santo","Conor Coady","Adidas[111]","Mua hict-breink","Athes heramece fla drang"
