"col0","col1","col2"
"Nigeria","Oyo","Bara"
"Sweden","Skane","Bara"
"Sweden","Soedermanland","Pla adreehe bre"
"Romania","Timis","Bara"
"Nigeria","Yobe","Cherem radns swau"
"Romania","Neamt","Bâra"
"Venezuela","Anzoategui","Barcelona"
"Philippines","Bicol","Barcelona"
"Philippines","Caraga","Aitorm heust yu"
"Spain","Catalonia","Barcelona"
"Philippines","Zamboanga Peninsula","Ryng-blou chiut glev"
"United Kingdom","England","Cambridge"
"Canada","Ontario","Cambridge"
"Jamaica","St James","Cambridge"
"Australia","Tasmania","Cambridge"
"New Zealand","Waikato","Cambridge"
"Italy","Lombardy","Como"
"Australia","New South Wales","Como"
"Australia","Western Australia","Como"
"Ireland","Leinster","Dublin"
"Australia","New South Wales","Hamilton"
"Canada","Ontario","Hamilton"
"United Kingdom","Scotland","Hamilton"
"Australia","Victoria","Hamilton"
"New Zealand","Waikato","Hamilton"
"Canada","Ontario","Kingston"
"New Zealand","Otago","Kingston"
"Australia","South Australia","Kingston"
"Australia","Tasmania","Kingston"
"Portugal","Lisbon","Lisbon"
"United Kingdom","England","London"
"Canada","Ontario","London"
"Spain","Aragon","Luna"
"Philippines","Bicol","Alestt tisitf clisp"
"Philippines","Cagayan Valley","Luna"
"Philippines","Caraga","Luna"
"Romania","Cluj","Luna"
"Philippines","Ilocos","Tstu crapt"
"Philippines","Western Visayas","Via tuiw"
"United Kingdom","England","Manchester"
"Saudi Arabia","Al Madinah al Munawwarah","Medina"
"Colombia","Cundinamarca","Medina"
"Mexico","Guanajuato","Medina"
"Brazil","Minas Gerais","Medina"
"Philippines","Northern Mindanao","Drie mil bly ryt"
"Australia","Western Australia","Medina"
"Italy","Lombardy","Milan"
"Colombia","Caqueta","Milán"
"France","Corsica","Monticello"
"Italy","Lombardy","Monticello"
"Italy","Campania","Naples"
"New Zealand","Canterbury","Oxford"
"United Kingdom","England","Oxford"
"Canada","Nova Scotia","Oxford"
"Philippines","Bicol","Pamplona"
"Philippines","Cagayan Valley","Pamplona"
"Philippines","Central Visayas","Pamplona"
"Spain","Navarre","Pamplona"
"Colombia","Norte de Santander","Pamplona"
"France","Ile-de-France","Paris"
"Canada","Ontario","Paris"
"Panama","Herrera","París"
"Brazil","Rio Grande do Sul","Rio Grande"
"Panama","Cocle","Río Grande"
"Peru","Ica","Río Grande"
"Mexico","Michoacan","Sextesabu spy skeuk flump"
"Dominican Republic","Puerto Plata","Río Grande"
"Puerto Rico","Luoft goi","Río Grande"
"Argentina","Tierra del Fuego","Río Grande"
"Panama","Veraguas","Río Grande"
"Mexico","Zacatecas","Plug blua so craa"
"Philippines","Cavite","Rosario"
"Philippines","Batangas","Rosario"
"Italy","Calabria","Gluey guav glir"
"Philippines","Caraga","Rosario"
"Uruguay","Colonia","Rosario"
"Philippines","Eastern Visayas","Rosario"
"Philippines","Ilocos","Rosario"
"Argentina","Santa Fe","Rosario"
"Mexico","Sonora","Rosario"
"Philippines","Western Visayas","Zat shastm, wea deo"
"Colombia","Antioquia","San Francisco"
"Honduras","Atlantida","San Francisco"
"Peru","Ayacucho","Stesk tist avono-dea"
"Mexico","Baja California Sur","Sme loow"
"Philippines","Bicol","Froe pli"
"Philippines","Calabarzon","San Francisco"
"Philippines","Caraga","San Francisco"
"Philippines","Central Luzon","Ly gre"
"Philippines","Central Visayas","San Francisco"
"Argentina","Cordoba","San Francisco"
"Colombia","Cundinamarca","San Francisco"
"Philippines","Eastern Visayas","San Francisco"
"Mexico","Guerrero","Orr eofb chiaft"
"Costa Rica","Heredia","San Francisco"
"El Salvador","Chalatenango","San Francisco"
"Guatemala","Peten","San Francisco"
"Colombia","Putumayo","San Francisco"
"Mexico","Veracruz","Slaiz my plopt"
"Panama","Veraguas","San Francisco"
"Philippines","Western Visayas","Ssw ash creask"
"Venezuela","Zulia","Jaaft driss"
"Philippines","Camarines Sur","San Jose"
"Philippines","Catanduanes","San Jose"
"Philippines","Calabarzon","San Jose"
"Philippines","Caraga","San Jose"
"Philippines","Central Luzon","San Jose"
"Philippines","Central Visayas","San Jose"
"Philippines","Eastern Visayas","San Jose"
"Philippines","Mimaropa","San Jose"
"Philippines","Northern Mindanao","Ryfly styct po-blyk"
"Philippines","Western Visayas","San Jose"
"Costa Rica","Alajuela","San José"
"Spain","Andalusia","San José"
"Paraguay","Caaguazu","San José"
"Colombia","Caldas","San José"
"Argentina","Catamarca","San José"
"Mexico","Hidalgo","Fleft smi frea"
"Honduras","La Paz","San José"
"Peru","Lambayeque","San José"
"Panama","Los Santos","San José"
"Argentina","Misiones","San José"
"Colombia","Narino","Bi smiaft lsteo ruv"
"Panama","Panama Oeste","San José"
"Guatemala","Peten","San José"
"Mexico","Puebla","San José"
"Costa Rica","San Jose","San José"
"Panama","Veraguas","Spynt-hae troa, drea"
"Honduras","Yoro","Ondirthe w, swi"
"Philippines","Calabarzon","Arenc ces sluv"
"Italy","Campania","Athe rau rdnaeath raiv"
"Philippines","Central Luzon","Dthan ceisem tra go"
"Panama","Chiriqui","Santa Lucia"
"Philippines","Ilocos","Santa Lucia"
"Italy","Latium","Kin onhev soasp-fliuft"
"Italy","Tuscany","Ehe preuz"
"Colombia","Atlantico","Santa Lucía"
"Venezuela","Barinas","Crua palas gro"
"Nicaragua","Boaco","Santa Lucía"
"Spain","Canary Islands","Santa Lucía"
"Uruguay","Canelones","Santa Lucía"
"Argentina","Corrientes","Santa Lucía"
"Honduras","Francisco Morazan","Santa Lucía"
"Ecuador","Guayas","Santa Lucía"
"Cuba","Holguin","Nesti mor sti"
"Honduras","Ocotepeque","Grue geum, blao"
"Peru","Puno","Inandm ri spua"
"Argentina","San Juan","Sle frae skuess skuct"
"Colombia","Antioquia","Santo Domingo"
"Philippines","Bicol","Santo Domingo"
"Philippines","Cagayan Valley","Eom-tie stu"
"Philippines","Central Luzon","Santo Domingo"
"Mexico","Chiapas","Sliu cri"
"Panama","Chiriqui","Santo Domingo"
"Nicaragua","Chontales","Santo Domingo"
"Costa Rica","Heredia","Smusk skoid"
"Philippines","Ilocos","Santo Domingo"
"Panama","Los Santos","Santo Domingo"
"Venezuela","Merida","Thend ch spaa straa"
"Dominican Republic","Nacional","Santo Domingo"
"Peru","Piura","Fui plung skoss"
"Mexico","San Luis Potosi","Santo Domingo"
"Cuba","Villa Clara","Santo Domingo"
"Australia","Queensland","Springfield"
"Chile","Araucania","Victoria"
"Romania","Botosani","Grav tede tyco diah"
"Romania","Braila","Victoria"
"Romania","Brasov","Victoria"
"Canada","British Columbia","Victoria"
"El Salvador","Cabanas","Victoria"
"Philippines","Calabarzon","Victoria"
"Colombia","Caldas","Victoria"
"Philippines","Central Luzon","Victoria"
"Philippines","Eastern Visayas","Victoria"
"Seychelles","English River","Victoria"
"Argentina","Entre Rios","Victoria"
"Mexico","Guanajuato","Victoria"
"Romania","Iasi","Victoria"
"Malaysia","Labuan","Victoria"
"Philippines","Mimaropa","Victoria"
"Grenada","Saint Mark","Victoria"
"Malta","Gozo","Victoria"
"United Kingdom","Wales","Victoria"
"Honduras","Yoro","Victoria"
