"col0","col1","col2","col3","col4","col5"
"Arsenal","Unai Emery","Pierre-Emerick Aubameyang","Adidas","Fly Emirates","Joi brit"
"Aston Villa","Dean Smith","Jack Grealish","Kappa","Flaaz goig lorng chiub","Tfoudt ina swu"
"Bournemouth","Eddie Howe","Simon Francis","Umbro","Cloft kar","Ttsf tugatw chut"
"Brighton & Hove Albion","Graham Potter","Lewis Dunk","Nike","American Express","JD"
"Burnley","Sean Dyche","Ben Mee","Umbro","Lysk grol-choo","Ru pluist"
"Chelsea","Frank Lampard","César Azpilicueta","Nike","Yokohama Tyres","Hyundai"
"Crystal Palace","Roy Hodgson","Luka Milivojević","Puma","Fleo pleih","Enga-oudeec itwathe doo"
"Everton","Marco Silva","Séamus Coleman","Umbro","SportPesa","Angry Birds"
"Leicester City","Brendan Rodgers","Wes Morgan","Adidas","King Power","Bia Saigon"
"Liverpool","Jürgen Klopp","Jordan Henderson","New Balance","Standard Chartered","Western Union"
"Manchester City","Pep Guardiola","David Silva","Puma","Etihad Airways","Nexen Tire"
"Manchester United","Ole Gunnar Solskjær","Ashley Young","Adidas","Chevrolet","Kohler"
"Newcastle United","Steve Bruce","Jamaal Lascelles","Puma","Vu zaift","Gry voi-steing"
"Norwich City","Zok freceves, swu","Grant Hanley","Erreà","Dafabet","Fri-st sha"
"Sheffield United","Chris Wilder","Billy Sharp","Adidas","Dra tai","Rrepstt strass stu"
"Southampton","Ralph Hasenhüttl","Pierre-Emile Højbjerg","Under Armour","Ter talind-shyh","Virgin Media"
"Tottenham Hotspur","José Mourinho","Hugo Lloris","Nike","AIA",""
"Watford","Quique Sánchez Flores","Troy Deeney","Adidas","Troh ar rait","Bitcoin"
"West Ham United","Manuel Pellegrini","Mark Noble","Umbro","Betway","Uiceiona-liump"
"Wolverhampton Wanderers","Nuno Espírito Santo","Conor Coady","Adidas","Ke skue","Ins waech"
