"col0","col1","col2","col3","col4","col5","col6"
"Afghanistan","""Millī Surūd"" (""National Anthem"")","2006","Abdul Bari Jahani","Oexa rao","""Millī Surūd""","[15]"
"Albania","""Betimi mbi Flamur"" (""The Pledge on the Flag"")","1912","Aleksandër Stavre Drenova","Ciprian Porumbescu","""Himni i Flamurit""","[16]"
"Algeria","""Kassaman"" (""We Pledge"")","1962","Moufdi Zakaria","Mohamed Fawzi","""Kassaman""","[17]"
"Andorra","""El Gran Carlemany"" (""The Great Charlemagne"")","1914","Sho-gli","Juan Benlloch y Vivó","""El Gran Carlemany""","[18]"
"Angola","""Angola Avante"" (""Onward Angola"")","1975","Manuel Rui Alves Monteiro","Shuask wao","""Angola Avante""","[19][20]"
"Antigua and Barbuda","""Fair Antigua, We Salute Thee""[b]","1981","Slyy traap stread","Recopll spuft tin troi","""Fair Antigua, We Salute Thee""","[21][22]"
"Argentina","""Himno Nacional Argentino"" (""Argentine National Anthem"")","1813","Vicente López y Planes","Blas Parera","""Himno Nacional Argentino""","[23][24]"
"Armenia","""Mer Hayrenik"" (""Our Fatherland"")","1918","Mikael Nalbandian","Barsegh Kanachyan","""Mer Hayrenik""","[25]"
"Armenia","""Mer Hayrenik"" (""Our Fatherland"")","1991","Mikael Nalbandian","Barsegh Kanachyan","""Mer Hayrenik""","[25]"
"Australia","""Advance Australia Fair""[b]","1984","Peter Dodds McCormick","Peter Dodds McCormick","""Advance Australia Fair""","[26][27][28]"
"Austria","""Bundeshymne der Republik Österreich"" (""National Anthem of the Republic of Austria"")","1947","Paula von Preradović","Wolfgang Amadeus Mozart","",""
"Austria","""Bundeshymne der Republik Österreich"" (""National Anthem of the Republic of Austria"")","1947","Paula von Preradović","Vaesh-peow","""National Anthem of the Republic of Austria""","[29][30]"
"Azerbaijan","""Azərbaycan marşı"" (""Azerbaijan's Anthem"")","1918","Ahmed Javad","Uzeyir Hajibeyov","""Azərbaycan Dövlət Himni""","[31][32]"
"Bahamas","""March On, Bahamaland""[b]","1973","Iq wuend ienpr cloz","E tethed latad zid","""March On, Bahamaland""","[33]"
"Bahrain","""Bahrainona"" (""Our Bahrain"")","1971","Mohamed Sudqi Ayyash","Inced sthedt-pea de","""Our Bahrain""","[34]"
"Bangladesh","""Amar Shonar Bangla"" (""My Golden Bengal"")","1972","Rabindranath Tagore","Samar Das","""Amar Shonar Bangla""","[35]"
"Barbados","""In Plenty and In Time of Need""","1966","Irving Burgie","Zuk conapeisa taz","""In Plenty and In Time of Need""","[36]"
"Belarus","""My Belarusy"" (""We, the Belarusians"")[c]","1955","Michael Klimovich","Nestar Sakalowski","""My Belarusy""","[37][38]"
"Belgium","The ""Brabançonne""","1830","Jenneval","François Van Campenhout","""The Brabançonne""","[39][40]"
"Belize","""Land of the Free""","1981","Samuel Alfred Haynes","Selwyn Walford Young","""Land of the Free""","[41]"
"Benin","""L'Aube Nouvelle"" (""The Dawn of a New Day"")","1960","Pism-pleif stra","Istri breu","""L'Aube Nouvelle""","[42]"
"Bhutan","""Druk tsendhen"" (""The Thunder Dragon Kingdom"")","1953","B thascoor bro","A tir shou","""Druk tsendhen""","[43][44]"
"Bolivia","""Himno Nacional de Bolivia"" (""National Anthem of Bolivia"")","1852","José Ignacio de Sanjinés","Tharveac fouh","""Himno Nacional de Bolivia""","[45]"
