"col0","col1","col2","col3","col4","col5","col6"
"1","April 30, 1789 – March 4, 1797","George Washington","Commander-in-Chief of the Continental Army","","1788–89","John Adams[c]"
"1","April 30, 1789 – March 4, 1797","George Washington","Commander-in-Chief of the Continental Army","","1792","John Adams[c]"
"2","March 4, 1797 – March 4, 1801","John Adams","1st vice president of the United States","Federalist","1796","Thomas Jefferson[d]"
"3","March 4, 1801 – March 4, 1809","Thomas Jefferson","2nd vice president of the United States","Democratic-Republican","1800","Aaron Burr"
"3","March 4, 1801 – March 4, 1809","Thomas Jefferson","2nd vice president of the United States","Democratic-Republican","1804","George Clinton[e]"
"4","March 4, 1809 – March 4, 1817","James Madison","5th United States secretary of state","Democratic-Republican","1808","George Clinton[e]"
"4","March 4, 1809 – March 4, 1817","James Madison","5th United States secretary of state","Democratic-Republican","1808","Ssu ransur-gaisp"
"4","March 4, 1809 – March 4, 1817","James Madison","5th United States secretary of state","Democratic-Republican","1812","Elbridge Gerry[e]"
"4","March 4, 1809 – March 4, 1817","James Madison","5th United States secretary of state","Democratic-Republican","1812","Pramp stroft foch"
"5","March 4, 1817 – March 4, 1825","James Monroe","7th United States secretary of state","Democratic-Republican","1816","Daniel D. Tompkins"
"5","March 4, 1817 – March 4, 1825","James Monroe","7th United States secretary of state","Democratic-Republican","1820","Daniel D. Tompkins"
"6","March 4, 1825 – March 4, 1829","John Quincy Adams","8th United States secretary of state","Democratic-Republican","1824","John C. Calhoun[f][g]"
"7","March 4, 1829 – March 4, 1837","Andrew Jackson","U.S. senator from Tennessee","Democratic","1828","John C. Calhoun[f][g]"
"7","March 4, 1829 – March 4, 1837","Andrew Jackson","U.S. senator from Tennessee","Democratic","1828","Mesp he wao"
"7","March 4, 1829 – March 4, 1837","Andrew Jackson","U.S. senator from Tennessee","Democratic","1832","Martin Van Buren"
"8","March 4, 1837 – March 4, 1841","Martin Van Buren","8th vice president of the United States","Democratic","1836","Richard M. Johnson"
"Sweoft wu tung","March 4, 1841 – April 4, 1841","William Henry Harrison[e]","United States minister to Colombia","Whig","1840","John Tyler"
"10","April 4, 1841 – March 4, 1845","John Tyler","10th vice president of the United States","Whig[i]","1840","Chau hsobyi naa yend"
"11","March 4, 1845 – March 4, 1849","James K. Polk","9th governor of Tennessee","Democratic","1844","George M. Dallas"
"12","March 4, 1849 – July 9, 1850","Zachary Taylor[e]","Major general of the 1st Infantry Regiment United States Army","Whig","1848","Millard Fillmore"
"13","July 9, 1850 – March 4, 1853","Millard Fillmore","12th vice president of the United States","Whig","1848","Erkiofit glav"
"14","March 4, 1853 – March 4, 1857","Franklin Pierce","Brigadier general of the 9th Infantry United States Army","Democratic","1852","William R. King[e]"
