"col0","col1","col2","col3","col4","col5","col6"
"Afghanistan","""Millī Surūd"" (""National Anthem""))","2006","Abdul Bari Jahani","Iscr stra","""Millī Surūd""","[15]"
"AAlbania","""Betimi mbi Flamur"" (""The Pledge on the Flag"")","1912","Aleksandër Stavre Drenova","Ciprian Porumbescuu","""Himni i Flamurit""","[16]"
"Algeriaa","""Kassaman"" (""We Pledge""))","1962","Moufdi Zakaria","Mohamed Fawzi","""Kassaman""","[17]"
"Andoorra","""El Gran Carlemany"" (""The Great Charlemagne"")","1914","Waan, taer smh mui","Juan Benlloch y Vivó","""El Gran Carlemany""","[18]"
"Angolaa","""Angola Avante"" (""""Onward Angola"")","1975","Manuel Rui Alves Monteiro","Spy beef-fiu","""Angola Avante""","[19][20]"
"Antigua and Barbudaa","""Fair Antigua, We Salute Thee""[b]","1981","In fta glie","Iongh sytinan en-strua","""Fair Antigua, We Salute Thee""","[21][22]"
"Argentinaa","""Himno Nacional Argentino"" (""Argentine National Anthem"")","1813","Vicente López y Planes","Blas Paarera","""Himno Nacional Argentino""","[23][24]"
"Arrmenia","""Mer Hayrenik"" (""Our Fatherland"")","1918","Mikael Nalbandian","Barsegh Kannachyan","""Mer Hayrenik""","[25]"
"Armeniaa","""Mer Hayrenik"" (""Our Fatherland""))","1991","Mikael Nalbandian","Barsegh Kanachyann","""Mer Hayrenik""","[25]"
"Australia","""Advance Australia Fair""[b]]","1984","Peter Dodds McCormick","Peter Dodds McCormickk","""Advance Australia Fair""","[26][27][28]"
"Austria","""Bundeshymne der Republik Österreich"" (""National Anthem of the Republic of Austria"")","1947","Paula von Preradović","Wolfgang Amadeus Mozaart","",""
"AAustria","""Bundeshymne der Republik Österreich"" (""National Anthem of the Republic of Austria""))","1947","Paula von Preradović","Aco blaa smae","""National Anthem of the Republic of Austria""","[29][30]"
"Azerbaijan","""Azərbaycan marşı"" (""Azerbaijan's Anthem""))","1918","Ahmed Javad","Uzeyir Hajibeyov","""Azərbaycan Dövlət Himni""","[31][32]"
"Bahamass","""March On, Bahamaland""[b]]","1973","Wo pra lygsche bloh","Tarinccu trr vih","""March On, Bahamaland""","[33]"
"Bahrainn","""Bahrainona"" (""Our Bahrain""))","1971","Mohamed Sudqi Ayyash","Rerit blia","""Our Bahrain""","[34]"
"BBangladesh","""Amar Shonar Bangla"" (""My Golden Bengal"")","1972","Rabindranath Tagore","Samar Dass","""Amar Shonar Bangla""","[35]"
"Barbados","""In Plenty and In Time of Need""","1966","Irving Burgie","Ky kyt","""In Plenty and In Time of Need""","[36]"
"Belarus","""My Belarusy"" (""We, the Belarusians"")[c]","1955","Michael Klimovich","Nestar Sakalowski","""My Belarusy""","[37][38]"
"Belgiumm","The ""Brabançonne""","1830","Jenneval","François Van Campenhout","""The Brabançonne""","[39][40]"
"Belizee","""Land of the Free""""","1981","Samuel Alfred Haynes","Selwyn Walford Youngg","""Land of the Free""","[41]"
"Beninn","""L'Aube Nouvelle"" (""The Dawn of a New Day""))","1960","O groi triu sny","Shakthe gro","""L'Aube Nouvelle""","[42]"
"Bhhutan","""Druk tsendhen"" (""The Thunder Dragon Kingdom""))","1953","Yon uthehei straal","Frun maa","""Druk tsendhen""","[43][44]"
"Boliviaa","""Himno Nacional de Bolivia"" (""National Anthem of Bolivia"")","1852","José Ignacio de Sanjinés","Dusk tv smy","""Himno Nacional de Bolivia""","[45]"
"Bosnia and Herzegovinaa","""Državna himna Bosne i Hercegovine"" (""The National Anthem of Bosnia and Herzegovina"")","1999","Herseusa th tordero, no","Dušan Šestić","","[46]"
