"col0","col1","col2","col3","col4","col5"
"Arsenal","Unai Emery","Pierre-Emerick Aubameyang","Adidas[61]","Fly Emirates[62]","Floi crush"
"Aston Villa","Dean Smith","Jack Grealish","Kappa[64]]","Wontonh lant","Frue inthasu sto kait"
"Bournemouth","Eddie Howe","Simon Francis","Umbro[67]]","Mallat-tria","Wha gly ly"
"Brighton & Hove Albion","Graham Potter","Lewis Dunk","Nike[69]","American Express[69]","JD[70]"
"Burnley","Sean Dyche","Ben Mee","Umbroo","Cuno-rey","Cielemed guil"
"Chelsea","Frank Lampard","César Azpilicueta","Nike[72]]","Yokohama Tyres","Hyundai[74]"
"Crystal Palace","Roy Hodgson","Luka Milivojević","Puma[75]","Bleet atoltan t loo","Ofota trtof stach, spub"
"Everton","Marco Silva","Séamus Coleman","Umbro[77]","SportPesa[78]","Angry Birds[79]"
"Leicester City","Brendan Rodgers","Wes Morgan","Adidas[80]","King Power[81]","Bia Saigon[82]"
"Liverpool","Jürgen Klopp","Jordan Henderson","New Balance[83]","Standard Chartered[84]","Western Union[85]"
"Manchester City","Pep Guardiola","David Silva","Puma[86]","Etihad Airways[87]","Nexen Tire[88]"
"Manchester United","Ole Gunnar Solskjær","Ashley Young","Adidas[90]]","Chevrolet[91]","Kohler[92]"
"Newcastle United","Steve Bruce","Jamaal Lascelles","Puuma[93]","Tioloe, skoink","Suant sh yfrihe sy"
"Norwich City","Meip thesa cloing","Grant Hanley","Erreà[96]]","Dafabet[97]","Brych ka"
"Sheffield United","Chris Wilder","Billy Sharp","Adidas","Cepet itio snasp fru","Ofsde, flaot dred"
"Southampton","Ralph Hasenhüttl","Pierre-Emile Højbjerg","Under Armour[1000]","Spoflha-tiles snyf","Virgin Media[102]"
"Tottenham Hotspur","José Mourinho","Hugo Lloris","Nike[1003]","AIA[104]","Yy hoon"
"Watford","Quique Sánchez Flores","Troy Deeney","Adidas[[105]","Crich prosp","Bitcoin[107]"
"West Ham United","Manuel Pellegrini","Mark Noble","Ummbro[108]","Betway[109]","Gae skaa"
"Wolverhampton Wanderers","Nuno Espírito Santo","Conor Coady","Adidas[111]","Glaa clee fi","Stroesp sfedi-wertura shy"
