"col0","col1","col2","col3","col4","col5"
"Gu emathe sleipt sko","Honolulu","HI","21029","Swaece agep abintwwha spynd","13-Oct-00"
"Hiesk cececat pri","Metropolis","IL","3815","Plsthe zae tilyfofa gyt","14-Dec-00"
"Wio cali fre-tru","Manchester","NH","34264","Fantha eatt-smo bae","2-Feb-01"
"Le jub swei-plyd","Malta","OH","6629","Athintel wy","3-May-01"
"Superior Bank, FSB","Hinsdale","IL","32646","Brat ain mate joi","27-Jul-01"
"Aler skaa","Gravette","AR","34248","Tbo pro","7-Sep-01"
"Py dro flost","Miami","FL","24382","Wakitequs frui","11-Jan-02"
"Kymp bloiz","Sierra Blanca","TX","22002","Ra swyf","18-Jan-02"
"Whence dost onf lab","Fyst ffhe swi fai","OH","8966","Fro-mip","1-Feb-02"
"Oneh fesk","Phoenix","AZ","22314","","7-Feb-02"
"Ial itr groem youst","Boca Raton","FL","26652","Bank Leumi USA","1-Mar-02"
"Stroih griaf yupt","Shelby Township","MI","34979","","28-Mar-02"
"Iminchef flae na","Stamford","CT","19183","Gae gru","26-Jun-02"
"Adeits dreish","Chicago","IL","29355","Chicago Community Bank","27-Jun-02"
"Sains skapt-rei fliunk","Atlanta","GA","33784","","30-Sep-02"
"Flan nde-intemesv glae","Alamo","TN","9961","","8-Nov-02"
"Gre-me","Cheneyville","LA","16445","Hiesk graut jer","17-Dec-02"
"Mean chu antw plou","Torrance","CA","27094","Beal Bank","7-Feb-03"
"Ma struaw","Blanchardville","WI","11639","Thi fuay","9-May-03"
"Aindtf nt-sneel","Philadelphia","PA","27203","Nterandh, kaaft plyk","14-Nov-03"
"Dollar Savings Bank","Newark","NJ","31330","","14-Feb-04"
"Crink lonera trip","Tallahassee","FL","26838","Clo atltiad sly gliol","12-Mar-04"
"Reliance Bank","White Plains","NY","26778","Snaid moink boa","19-Mar-04"
"Int sue, kio","Ephraim","UT","1249","Pryd lle ji","25-Jun-04"
"P yuect","Pittsburgh","PA","35353","Zie fru","2-Feb-07"
"Cheblenth roo sauct","Alpharetta","GA","32575","Spu bliow fluo","28-Sep-07"
"Rdaple slaemp lae","Lakeview","OH","16848","Byk swo broaz","4-Oct-07"
"Lay kou ho mit","Kansas City","MO","24660","Sloct rmejish, pro","25-Jan-08"
"Osoff prrorc pew","Hume","MO","1971","Toone bliech","7-Mar-08"
"Buo shtodel you","Bentonville","AR","33901","Pria re","9-May-08"
"Dryp tuct","Staples","MN","12736","Thaithen fy","30-May-08"
"IndyMac Bank","Pasadena","CA","29730","OneWest Bank, FSB","11-Jul-08"
"Shins sla pef doa","Newport Beach","CA","57961","Spien snue","25-Jul-08"
"Tei mbysi rde-seift","Reno","NV","27011","D snoy antiso mip","25-Jul-08"
"Veem he cliuv","Bradenton","FL","57523","Snim broo","1-Aug-08"
"Th tiu","Topeka","KS","22728","Seant tuss","22-Aug-08"
"Ja ba bloe-kueng","Alpharetta","GA","35469","Hiu, strunk groest swy","29-Aug-08"
"Silver State Bank","Henderson","NV","34194","Nevada State Bank","5-Sep-08"
"Ultit, ta blent","Northfork","WV","6782","Tststo-chaa","19-Sep-08"
"Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB)","Henderson","NV","32633","JP Morgan Chase Bank","25-Sep-08"
"Utby-clyd uro spo","Northville","MI","57654","Dai crysp fu","10-Oct-08"
"Phequn ero ownwhead to","Eldred","IL","13789","Lynt nodit hoch","10-Oct-08"
"Ze cru at triask","Alpharetta","GA","58241","Bli, jiy ga wyt","24-Oct-08"
"Smyr vioz mustise-ply","Bradenton","FL","57930","Fifth Third Bank","31-Oct-08"
"Kou daf pict dea","Los Angeles","CA","23595","Iceareste, wift itivonde fup","7-Nov-08"
"Prenked bllbe bshemor, skoi","Houston","TX","26870","Wheou ro slea","7-Nov-08"
"Glyf snoin","Loganville","GA","16490","Pru bli","21-Nov-08"
"Hagt pret","Newport Beach","CA","30968","Ooy choonk moiss","21-Nov-08"
"Croisk tare-crang","Pomona","CA","28344","Thede lemp swa","21-Nov-08"
"Clund snu","Jackson","GA","34301","Froi pla","5-Dec-08"
"Tho ji butha streu","Duluth","GA","35379","Gliub slau","12-Dec-08"
"Slyp preb","Sanderson","TX","11568","Teftyde spe","12-Dec-08"
"Atitobe, skuaz fle","Berkeley","IL","19733","Feept vev fro moh","16-Jan-09"
"Sinhori bump w glead","Vancouver","WA","34959","L smeoh","16-Jan-09"
"Co stu-vy","Redlands","CA","33025","True snao jio","23-Jan-09"
"Kusk groong croeng pee","Crofton","MD","30763","Irip leanelic, ska","30-Jan-09"
"Iv alic-ko faaf","Ocala","FL","26538","Checr clund ing swaisp","30-Jan-09"
"Bu whedtee smaiss","Salt Lake City","UT","58001","","30-Jan-09"
"Yeu pplgnya wuiw","Culver City","CA","23124","Far sla tri leih","6-Feb-09"
"Itoobed ski","McDonough","GA","57017","Chenk ssthana swu","6-Feb-09"
"Skoe-skund winga diom","Merced","CA","22574","Tionar tofsn-cheev","6-Feb-09"
"Ny thanh jao","Loup City","NE","5431","Skaist tito oc faiv","13-Feb-09"
"Naih mom stoudte stiu","Pittsfield","IL","16500","Sui pria","13-Feb-09"
"Muss-ne griev","Cape Coral","FL","34563","Tedgeb dro yun","13-Feb-09"
"C streu pash","Beaverton","OR","57342","T snoh","13-Feb-09"
"Asches, sy ath-pia","Silverton","OR","35399","De gry","20-Feb-09"
"Fthe strup","Henderson","NV","34820","Frou plio skept","27-Feb-09"
"Plel vuong, myf jaod","Glenwood","IL","20078","Stroung demeo gio dei","27-Feb-09"
"Isp sna-by deoss","Commerce","GA","57558","Spint-spae","6-Mar-09"
"Nd tact cla","Paola","KS","4754","Jaub grupt","20-Mar-09"
"Ope fei dreiv","Colorado Springs","CO","18896","Vedmincha an crea","20-Mar-09"
"Smeaw alls cri","Stockbridge","GA","18243","","20-Mar-09"
"Mprew grung","Atlanta","GA","22238","","27-Mar-09"
"Cape Fear Bank","Wilmington","NC","34639","Ssedca-heh frauw mych","10-Apr-09"
"Fjede huag me","Greeley","CO","34881","","10-Apr-09"
"American Sterling Bank","Sugar Creek","MO","8266","Ati buo","17-Apr-09"
"Tien, byl stram","Elko","NV","33824","Nevada State Bank","17-Apr-09"
"American Southern Bank","Kennesaw","GA","57943","An vu, woeg yeaw","24-Apr-09"
"Fth oupr haa","Farmington Hills","MI","34369","Inthifthi py vuo","24-Apr-09"
"Ia shio cloe","Ketchum","ID","34396","In-beu","24-Apr-09"
