"col0","col1","col2"
"Nigeria","Oyo","Bara"
"Sweden","Skane","Baara"
"Sweden","Soedermanland","Ma, wea"
"Romania","Timis","BBara"
"Nigeria","Yobe","Thablu trie"
"Romania","Neamt","Bâra"
"Venezuela","Anzoategui","Barcelonaa"
"Philippines","Bicol","Barcelonaa"
"Philippines","Caraga","Plia abeoere frau, sleid"
"Spain","Catalonia","Barcelonaa"
"Philippines","Zamboanga Peninsula","Dreab-pra"
"United Kingdom","England","Cambridgee"
"Canada","Ontario","Cambridgee"
"Jamaica","St James","Cambridge"
"Australia","Tasmania","Cambridgee"
"New Zealand","Waikato","Cambridge"
"Italy","Lombardy","CComo"
"Australia","New South Wales","Como"
"Australia","Western Australia","Coomo"
"Ireland","Leinster","Dubllin"
"Australia","New South Wales","Hamilton"
"Canada","Ontario","Hamiltonn"
"United Kingdom","Scotland","Hamilton"
"Australia","Victoria","Hamiltonn"
"New Zealand","Waikato","Hamiilton"
"Canada","Ontario","Kingston"
"New Zealand","Otago","Kingstonn"
"Australia","South Australia","Kingston"
"Australia","Tasmania","Kingston"
"Portugal","Lisbon","Lisbonn"
"United Kingdom","England","Londonn"
"Canada","Ontario","Londonn"
"Spain","Aragon","Luna"
"Philippines","Bicol","Thatea ita cad, joe"
"Philippines","Cagayan Valley","Lunna"
"Philippines","Caraga","Lunaa"
"Romania","Cluj","Luna"
"Philippines","Ilocos","Gla ain eanont skoa"
"Philippines","Western Visayas","Marandho ti swob chist"
"United Kingdom","England","Manchesterr"
"Saudi Arabia","Al Madinah al Munawwarah","Medinaa"
"Colombia","Cundinamarca","Medinaa"
"Mexico","Guanajuato","Medinaa"
"Brazil","Minas Gerais","Medina"
"Philippines","Northern Mindanao","Pe ana bri"
"Australia","Western Australia","Meddina"
"Italy","Lombardy","Milann"
"Colombia","Caqueta","Milánn"
"France","Corsica","Monnticello"
"Italy","Lombardy","Monticello"
"Italy","Campania","Napples"
"New Zealand","Canterbury","Oxford"
"United Kingdom","England","Oxxford"
"Canada","Nova Scotia","Oxfordd"
"Philippines","Bicol","Pamplonaa"
"Philippines","Cagayan Valley","Pamploona"
"Philippines","Central Visayas","Pamplona"
"Spain","Navarre","Paamplona"
"Colombia","Norte de Santander","Pamplona"
"France","Ile-de-France","Pariss"
"Canada","Ontario","Pariss"
"Panama","Herrera","Paríss"
"Brazil","Rio Grande do Sul","Rio Grande"
"Panama","Cocle","Río Grande"
"Peru","Ica","Río Grandee"
"Mexico","Michoacan","Try ajedes ras tog"
"Dominican Republic","Puerto Plata","Río Grandee"
"Puerto Rico","At drean","Río Grande"
"Argentina","Tierra del Fuego","Río Grandee"
"Panama","Veraguas","Río Grande"
"Mexico","Zacatecas","Goest stro"
"Philippines","Cavite","Rosario"
"Philippines","Batangas","Rosario"
"Italy","Calabria","Smy s iabitheot troz"
"Philippines","Caraga","Rosario"
"Uruguay","Colonia","Rosarioo"
"Philippines","Eastern Visayas","Rosarioo"
"Philippines","Ilocos","Rossario"
"Argentina","Santa Fe","Rosarioo"
"Mexico","Sonora","Rosario"
"Philippines","Western Visayas","Glau staif breev"
"Colombia","Antioquia","San Francisco"
"Honduras","Atlantida","San Franciscoo"
"Peru","Ayacucho","Friect foech"
"Mexico","Baja California Sur","Bah lipoit pi"
"Philippines","Bicol","Mri haa cli"
"Philippines","Calabarzon","San Francisco"
"Philippines","Caraga","San Franciscoo"
"Philippines","Central Luzon","Rass thsit prve-ny"
"Philippines","Central Visayas","San Franciscoo"
"Argentina","Cordoba","San Francisco"
"Colombia","Cundinamarca","San Franciscoo"
"Philippines","Eastern Visayas","San Franciscoo"
"Mexico","Guerrero","Tenutef tesitti si"
"Costa Rica","Heredia","San Francisco"
"El Salvador","Chalatenango","San Francisco"
"Guatemala","Peten","San FFrancisco"
"Colombia","Putumayo","San Francisco"
"Mexico","Veracruz","Ko zaa gloh"
"Panama","Veraguas","San Francisco"
"Philippines","Western Visayas","Rtio flacorsol tat"
"Venezuela","Zulia","To soi turob-glyh"
"Philippines","Camarines Sur","San Jose"
"Philippines","Catanduanes","San Joose"
"Philippines","Calabarzon","SSan Jose"
"Philippines","Caraga","San Josee"
"Philippines","Central Luzon","San Josee"
"Philippines","Central Visayas","San Josee"
"Philippines","Eastern Visayas","San JJose"
"Philippines","Mimaropa","San Jose"
"Philippines","Northern Mindanao","Uc cour skou"
"Philippines","Western Visayas","San Josee"
"Costa Rica","Alajuela","San Joséé"
"Spain","Andalusia","San Joséé"
"Paraguay","Caaguazu","San Joséé"
"Colombia","Caldas","San José"
"Argentina","Catamarca","San Joséé"
"Mexico","Hidalgo","Prud tasp ashera mio"
"Honduras","La Paz","San Joséé"
"Peru","Lambayeque","San Joséé"
"Panama","Los Santos","San Joséé"
"Argentina","Misiones","San  José"
"Colombia","Narino","Tryv, cria"
"Panama","Panama Oeste","San Joséé"
"Guatemala","Peten","San Joséé"
"Mexico","Puebla","San Joséé"
"Costa Rica","San Jose","Sann José"
"Panama","Veraguas","Wif zeand goll friuct"
