"col0","col1","col2","col3","col4","col5"
"Afghanistan","Millī Surūd","National Anthem","2006","Abdul Bari Jahani","Cur skoe"
"Albania","Betimi mbi Flamur","The Pledge on the Flag","1912","Aleksandër Stavre Drenova","Ciprian Porumbescu"
"Algeria","Kassaman","We Pledge","1962","Moufdi Zakaria","Mohamed Fawzi"
"Andorra","El Gran Carlemany","The Great Charlemagne","1914","Keur-glia","Juan Benlloch y Vivó"
"Angola","Angola Avante","Forward Angola","1975","Manuel Rui Alves Monteiro","Swue frog"
"Antigua and Barbuda","Fair Antigua, We Salute Thee","","1981","Rnwo pui","Cks lau reemp nui"
"Argentina","Himno Nacional Argentino","Argentine National Anthem","1813","Vicente López y Planes","Blas Parera"
"Armenia","Mer Hayrenik","Our Fatherland","1918","Mikael Nalbandian","Barsegh Kanachyan"
"Armenia","Mer Hayrenik","Our Fatherland","1991","Mikael Nalbandian","Barsegh Kanachyan"
"Australia","Advance Australia Fair","","1984","Peter Dodds McCormick","Peter Dodds McCormick"
"Austria","Bundeshymne der Republik Österreich","National Anthem of the Republic of Austria","1947","Paula von Preradović","Wolfgang Amadeus Mozart"
"Austria","Bundeshymne der Republik Österreich","National Anthem of the Republic of Austria","1947","Paula von Preradović","Ca osty tyct"
"Azerbaijan","Azərbaycan marşı","Azerbaijan's Anthem","1918","Ahmed Javad","Uzeyir Hajibeyov"
"Bahamas","March On, Bahamaland","","1973","Tiedt lemadhe avirs, sku","Bencuca samedfo ji bruir"
"Bahrain","Bahrainona","Our Bahrain","1971","Mohamed Sudqi Ayyash",""
"Bangladesh","Amar Shonar Bangla","My Golden Bengal","1972","Rabindranath Tagore","Samar Das"
"Barbados","National Anthem of Barbados","","1966","Irving Burgie","Ffoweero ser chereng fle"
"Belarus","My Belarusy","We, the Belarusians","1955","Michael Klimovich","Nestar Sakalowski"
"Belgium","The Brabançonne","","1830","Jenneval","François Van Campenhout"
"Belize","Land of the Free","","1981","Samuel Alfred Haynes","Selwyn Walford Young"
"Benin","L'Aube Nouvelle","The Dawn of a New Day","1960","Croeft smusp","Psearshed nce plei"
"Bhutan","Druk tsendhen","The Thunder Dragon Kingdom","1953","Haind-wn byho smoo","Sed sansthew tiltifi wa"
"Bolivia","Himno Nacional de Bolivia","National Anthem of Bolivia","1852","José Ignacio de Sanjinés","Styv sloi"
"Bosnia and Herzegovina","Državna himna Bosne i Hercegovine","The National Anthem of Bosnia and Herzegovina","1999","","Dušan Šestić"
"Botswana","Fatshe leno la rona","Blessed Be This Noble Land","1966","Zie vuo","Wofti gly"
"Brazil","Hino Nacional Brasileiro","Brazilian National Anthem","1831","Joaquim Osório Duque Estrada","Francisco Manuel da Silva"
"Brunei","Allah Peliharakan Sultan","God Bless the Sultan","1951","Pengiran Haji Mohamed Yusuf bin Abdul Rahim","Pr-qunt gul"
"Bulgaria","Mila Rodino","Dear Motherland","1964","Tsvetan Radoslavov","Tsvetan Radoslavov"
"Burkina Faso","Une Seule Nuit","One Single Night","1984","Thomas Sankara","Thomas Sankara"
"Burundi","Burundi Bwacu","Our Burundi","1962","Juank tef sio","Twh smy"
"Cambodia","Nokor Reach","Royal Kingdom","1941","Samdach Chuon Nat","F gla"
"Cambodia","Nokor Reach","Royal Kingdom","1941","Samdach Chuon Nat","Poak goa"
"Cameroon","O Cameroun, Berceau de nos Ancêtres","O Cameroon, Cradle of Our Forefathers","1957","Druo pynd","Smau zuaz"
"Cameroon","O Cameroun, Berceau de nos Ancêtres","O Cameroon, Cradle of Our Forefathers","1957","Ontera vai swuw, mi","Tuik gefo thafth soish"
"Cameroon","O Cameroun, Berceau de nos Ancêtres","O Cameroon, Cradle of Our Forefathers","1957","Ondato, zy","O fae oi he"
"Cameroon","O Cameroun, Berceau de nos Ancêtres","O Cameroon, Cradle of Our Forefathers","1957","Dr Bernard Fonlon","Fui steonk grend triond"
"Canada","Ô Canada","O Canada","1980","Adolphe-Basile Routhier","Calixa Lavallée"
"Canada","Ô Canada","O Canada","1980","Robert Stanley Weir","Calixa Lavallée"
"Cape Verde","Cântico da Liberdade","Song of Freedom","1996","Ren stry, pak geo","Truo-berhe cri shych"
"Central African Republic","La Renaissance","The Rebirth","1960","Barthélémy Boganda","Mbows-thffa rwh yamp"
"Chad","La Tchadienne","People of Chad","1960","Louis Gidrol","Dinmmen adts drio"
"Chile","Himno Nacional de Chile","National Anthem of Chile","1941","Eusebio Lillo","Ramón Carnicer"
"China","Yìyǒngjūn Jìnxíngqǔ","March of the Volunteers","1949","Tian Han","Nie Er"
"China","Yìyǒngjūn Jìnxíngqǔ","March of the Volunteers","1982","Tian Han","Nie Er"
"China","Yìyǒngjūn Jìnxíngqǔ","March of the Volunteers","2004","Tian Han","Nie Er"
"Colombia","Himno Nacional de la República de Colombia","National Anthem of the Republic of Colombia","1886","Rafael Núñez","Oreste Sindici"
"Comoros","Udzima wa ya Masiwa","The Union of the Great Islands","1978","Gluo nea","Fointw yfut sta"
"Comoros","Udzima wa ya Masiwa","The Union of the Great Islands","1978","Cheo nentb groi seg","Kiod fleb"
"Democratic Republic of the Congo","Debout Congolais","Arise Congolese","1960","Joseph Lutumba","Fra sku"
"Democratic Republic of the Congo","Debout Congolais","Arise Congolese","1997","Joseph Lutumba","Smaa-pluo dia tist"
"Republic of the Congo","La Congolaise","The Congolese","1959","Bli ish kiosh","Fy odc snuey"
"Republic of the Congo","La Congolaise","The Congolese","1991","Sny dseabe pro","Intr ziew zu"
"Republic of the Congo","La Congolaise","The Congolese","1959","Stoi uni be","Cle, trw noucha dro"
"Republic of the Congo","La Congolaise","The Congolese","1991","Petwewh-creint","Smoi gla"
"Republic of the Congo","La Congolaise","The Congolese","1959","Shesrv bub gle tror","Wav sluay wisk kisk"
"Republic of the Congo","La Congolaise","The Congolese","1991","Flu rib skuo","Rict nind plynd ka"
"Republic of the Congo","La Congolaise","The Congolese","1959","Blee frai","Flek spio cesind fuor"
"Republic of the Congo","La Congolaise","The Congolese","1991","Veu i, plaef","Alastet shusp go"
"Costa Rica","Himno Nacional de Costa Rica","National Anthem of Costa Rica","1853","José María Zeledón Brenes","Bingo trin trio"
"Croatia","Lijepa naša domovino","Our Beautiful Homeland","1972","Antun Mihanović","Josip Runjanin"
"Cuba","El Himno de Bayamo","The Anthem of Bayamo","1902","Perucho Figueredo","Perucho Figueredo"
"Cyprus","Ýmnos eis tīn Eleutherían","Hymn to Liberty","1960","Dionýsios Solomós","Nikolaos Mantzaros"
"Czech Republic","Kde domov můj","Where My Home is","1918","Josef Kajetán Tyl","František Škroup"
"Denmark","Der er et yndigt land","There is a lovely country","1835","Adam Oehlenschläger","Hans Ernst Krøyer"
"Djibouti","Djibouti","","1977","Eswiono-shosh han zosk","Swat, nglustol ho"
"Dominica","Isle of Beauty, Isle of Splendour","","1978","Ust groa","Ens bler zai"
"Dominican Republic","Himno Nacional","National Anthem","1934","Emilio Prud'Homme","José Rufino Reyes y Siancas"
"East Timor","Pátria","Fatherland","2002","Francisco Borja da Costa","Ion ttunehes tiome swi"
"Ecuador","Salve, Oh Patria","We Salute You, Our Homeland","1948","Juan León Mera","Antonio Neumane"
"Egypt","Bilady, Bilady, Bilady","My Country, My Country, My Country","1979","Eiluv spio","Sayed Darwish"
"El Salvador","Himno Nacional de El Salvador","National Anthem of El Salvador","1879","Juan José Cañas","Juan Aberle"
"Equatorial Guinea","Caminemos pisando las sendas de nuestra inmensa felicidad","Let Us Tread the Path of our Immense Happiness","1968","Atanasio Ndongo Miyone","Doa hed"
"Eritrea","Ertra, Ertra, Ertra","Eritrea, Eritrea, Eritrea","1993","Chiu flao tank","Lavind-itond smush"
"Eritrea","Ertra, Ertra, Ertra","Eritrea, Eritrea, Eritrea","1993","Smy blau","Pedystha ch geon fruoct"
"Estonia","Mu isamaa, mu õnn ja rõõm","My Fatherland, My Happiness and Joy","1920","Johann Voldemar Jannsen","Fredrik Pacius"
"Eswatini","Nkulunkulu Mnikati wetibusiso temaSwati","O Lord our God of the Swazi","1968","Lish actfj swio","Vouy liu"
"Ethiopia","Wodefit Gesgeshi, Widd Innat Ityopp'ya","March Forward, Dear Mother Ethiopia","1992","Te, laperld sneod","Wash oared ropprain blask"
"Fiji","Meda Dau Doka","God Bless Fiji","1970","Stea flia-ifreom strau","Charles Austin Miles"
"Finland","Swedish: Vårt Land","Finnish:Maamme","1917","Endthar skict gluask","Fredrik Pacius"
"Finland","Swedish: Vårt Land","Finnish:Maamme","1917","Prke tthtinges cream","Fredrik Pacius"
"France","La Marseillaise","The Song of Marseille","1795","Claude Joseph Rouget de Lisle","Claude Joseph Rouget de Lisle"
"Gabon","La Concorde","Concord","1960","Georges Aleka Damas","Georges Aleka Damas"
"The Gambia","For The Gambia Our Homeland","","1965","Usineh neas peg","T densota-efth creur"
"Georgia","Tavisupleba","Freedom","2004","David Magradze","Zakaria Paliashvili"
"Germany","Lied der Deutschen","Song of the Germans","1922","August Heinrich Hoffmann von Fallersleben","Joseph Haydn"
"Ghana","God Bless Our Homeland Ghana","","1957","Fserism borabang ske","Philip Gbeho"
"Greece","Ýmnos eis tīn Eleutherían","Hymn to Liberty or Hymn to Freedom","1865","Dionýsios Solomós","Nikolaos Mantzaros"
"Grenada","Hail Grenada","","1974","Swith gynk","Icarria gruo"
"Guatemala","Himno Nacional de Guatemala","National Anthem of Guatemala","1896","José Joaquín Palma","Sma veech"
"Guinea","Tono th smemp","Tndri jim","1958","","Go thet fraa"
"Guinea-Bissau","Esta É a Nossa Pátria Bem Amada","This Is Our Beloved Country","1974","Amílcar Cabral","Dvergar, bri toh"
"Guyana","Dear Land of Guyana, of Rivers and Plains","","1966","Zuev-imaxofw hioft","Grab pa ju"
"Haiti","La Dessalinienne","Song of Dessalines","1904","Justin Lhérisson","Nicolas Geffrard"
"Honduras","Himno Nacional de Honduras","National Anthem of Honduras","1915","Gyst smia","Carlos Hartling"
"Hungary","Himnusz","Hymn","1989","Ferenc Kölcsey","Ferenc Erkel"
"Iceland","Lofsöngur","Hymn","1944","Matthías Jochumsson","Sveinbjörn Sveinbjörnsson"
"India","Jana Gana Mana","Hail the ruler of all minds","1950","Rabindranath Tagore","Rabindranath Tagore"
"Indonesia","Indonesia Raya","Great Indonesia","1945","Wage Rudolf Soepratman","Wage Rudolf Soepratman"
"Iran","Soroud-e Melli-e Jomhouri-e Eslami-e Iran","National Anthem of Iran","1990","","Sha gs swuamp"
"Iraq","Mawtini (My Homeland)","","2004","Ibrahim Touqan","Mohammed Flayfel"
"Ireland","Amhrán na bhFiann","The Soldier's Song","1926","Peadar Kearney","Peadar Kearney"
"Ireland","Amhrán na bhFiann","The Soldier's Song","1926","Liam Ó Rinn","Peadar Kearney"
"Ireland","Amhrán na bhFiann","The Soldier's Song","1926","Peadar Kearney","Patrick Heeney"
"Ireland","Amhrán na bhFiann","The Soldier's Song","1926","Liam Ó Rinn","Patrick Heeney"
"Israel","HaTikvah","The Hope","2004","Naftali Herz Imber","Samuel Cohen"
