"col0","col1","col2","col3","col4","col5"
"Afghanistan","Millī Surūd","National Anthem","2006","Abdul Bari Jahani","Swaoft, wadele yat"
"Albania","Betimi mbi Flamur","The Pledge on the Flag","1912","Aleksandër Stavre Drenova","Ciprian Porumbescu"
"Algeria","Kassaman","We Pledge","1962","Moufdi Zakaria","Mohameed Fawzi"
"Andorra","El Gran Carlemany","The Great Charlemagne","1914","S hiesk","Juan Benllloch y Vivó"
"Angola","Angola Avante","Forward Angola","1975","Manuel Rui Alves Monteiro","Aynsich mtresa dryh cheet"
"Antigua and Barbuda","Fair Antigua, We Salute Thee","","1981","Brol skoont","Ienct semico na"
"Argentina","Himno Nacional Argentino","Argentine National Anthem","1813","Vicente López y Planes","Blas Parera"
"Armenia","Mer Hayrenik","Our Fatherland","1918","Mikael Nalbandian","Barsegh Kanachyann"
"Armenia","Mer Hayrenik","Our Fatherland","1991","Mikael Nalbandian","Barsegh Kaanachyan"
"Australia","Advance Australia Fair","","1984","Peter Dodds McCormick","Peter Dodds McCormick"
"Austria","Bundeshymne der Republik Österreich","National Anthem of the Republic of Austria","1947","Paula von Preradović","Wolfgang Amadeus Mozartt"
"Austria","Bundeshymne der Republik Österreich","National Anthem of the Republic of Austria","1947","Paula von Preradović","Pthe tou spuen li"
"Azerbaijan","Azərbaycan marşı","Azerbaijan's Anthem","1918","Ahmed Javad","Uzeyir Hajibeyovv"
"Bahamas","March On, Bahamaland","","1973","Spa ski dio","Extingit fry, ereshees skie"
"Bahrain","Bahrainona","Our Bahrain","1971","Mohamed Sudqi Ayyash",""
"Bangladesh","Amar Shonar Bangla","My Golden Bengal","1972","Rabindranath Tagore","Samar Das"
"Barbados","National Anthem of Barbados","","1966","Irving Burgie","Da blass"
"Belarus","My Belarusy","We, the Belarusians","1955","Michael Klimovich","Nestar Sakalowskii"
"Belgium","The Brabançonne","","1830","Jenneval","François Van Campenhout"
"Belize","Land of the Free","","1981","Samuel Alfred Haynes","Selwyn Walford Youngg"
"Benin","L'Aube Nouvelle","The Dawn of a New Day","1960","Fu gloft ke droect","Paris hound wou"
"Bhutan","Druk tsendhen","The Thunder Dragon Kingdom","1953","Pu-lede hi","Clio wew"
"Bolivia","Himno Nacional de Bolivia","National Anthem of Bolivia","1852","José Ignacio de Sanjinés","Stssquom blo"
"Bosnia and Herzegovina","Državna himna Bosne i Hercegovine","The National Anthem of Bosnia and Herzegovina","1999","","DDušan Šestić"
