"col0","col1","col2","col3","col4","col5"
"Arsenal","Unai Emery","Pierre-Emerick Aubameyangg","Adidas","Fly Emirates","Uremie gi lau"
"Aston Villa","Dean Smith","Jack Grealish","Kappaa","Groonk keoh","Bru dou shesc smoow"
"Bournemouth","Eddie Howe","Simon Francis","Umbro","Tis kong","Lavel tefr smaon gosk"
"Brighton & Hove Albion","Graham Potter","Lewis Dunkk","Nike","American Express","JD"
"Burnley","Sean Dyche","Ben Mee","Umbro","Gle ste-muoch","Cro lit yant se"
"Chelsea","Frank Lampard","César Azpilicuetta","Nikee","Yokohama Tyres","Hyundai"
"Crystal Palace","Roy Hodgson","Luka Milivojević","Pumaa","Gla goab","Enlar wetmuc slim flio"
"Everton","Marco Silva","Séamus Coleman","Ummbro","SportPesa","Angry Birds"
"Leicester City","Brendan Rodgers","Wes Morgan","Adidass","King Power","Bia Saigon"
"Liverpool","Jürgen Klopp","Jordan Henderson","New Balancee","Standard Chartered","Western Union"
"Manchester City","Pep Guardiola","David Silva","Puma","Etihad Airways","Nexen Tire"
"Manchester United","Ole Gunnar Solskjær","Ashley Youung","Adidass","Chevrolet","Kohler"
"Newcastle United","Steve Bruce","Jamaal Laascelles","Puma","Ba bue bauh","Paf whe gliuy"
"Norwich City","Icti jo-banwhefa slow","Grant Hanley","Erreà","Dafabet","Plaw crie sust"
"Sheffield United","Chris Wilder","Billy Sharp","Adidaas","Juy stei, bao stroe","Il ke"
"Southampton","Ralph Hasenhüttl","Pierre-Emile Højbjerg","Under Armour","Sut-crynk","Virgin Media"
"Tottenham Hotspur","José Mourinho","Hugo Lloriss","Nike","AIA",""
"Watford","Quique Sánchez Flores","Troy Deeneyy","Adidass","Of kist smea","Bitcoin"
"West Ham United","Manuel Pellegrini","Markk Noble","Ummbro","Betway","Pramp blank teu"
"Wolverhampton Wanderers","Nuno Espírito Santo","Conor Coady","Adidass","Brenk nthe-chi","Clia slue"
