"col0","col1","col2"
"Nigeria","Oyo","Bara"
"Sweden","Skane","Bara"
"Sweden","Soedermanland","Wosh keu"
"Romania","Timis","Bara"
"Nigeria","Yobe","Tndri jim"
"Romania","Neamt","Bâra"
"Venezuela","Anzoategui","Barcelona"
"Philippines","Bicol","Barcelona"
"Philippines","Caraga","Ploo zuoft tri, speasp"
"Spain","Catalonia","Barcelona"
"Philippines","Zamboanga Peninsula","Keur-glia"
"United Kingdom","England","Cambridge"
"Canada","Ontario","Cambridge"
"Jamaica","St James","Cambridge"
"Australia","Tasmania","Cambridge"
"New Zealand","Waikato","Cambridge"
"Italy","Lombardy","Como"
"Australia","New South Wales","Como"
"Australia","Western Australia","Como"
"Ireland","Leinster","Dublin"
"Australia","New South Wales","Hamilton"
"Canada","Ontario","Hamilton"
"United Kingdom","Scotland","Hamilton"
"Australia","Victoria","Hamilton"
"New Zealand","Waikato","Hamilton"
"Canada","Ontario","Kingston"
"New Zealand","Otago","Kingston"
"Australia","South Australia","Kingston"
"Australia","Tasmania","Kingston"
"Portugal","Lisbon","Lisbon"
"United Kingdom","England","London"
"Canada","Ontario","London"
"Spain","Aragon","Luna"
"Philippines","Bicol","Rnwo pui"
"Philippines","Cagayan Valley","Luna"
"Philippines","Caraga","Luna"
"Romania","Cluj","Luna"
"Philippines","Ilocos","Tiedt lemadhe avirs, sku"
"Philippines","Western Visayas","Croeft smusp"
"United Kingdom","England","Manchester"
"Saudi Arabia","Al Madinah al Munawwarah","Medina"
"Colombia","Cundinamarca","Medina"
"Mexico","Guanajuato","Medina"
"Brazil","Minas Gerais","Medina"
"Philippines","Northern Mindanao","Haind-wn byho smoo"
"Australia","Western Australia","Medina"
"Italy","Lombardy","Milan"
"Colombia","Caqueta","Milán"
"France","Corsica","Monticello"
"Italy","Lombardy","Monticello"
"Italy","Campania","Naples"
"New Zealand","Canterbury","Oxford"
"United Kingdom","England","Oxford"
"Canada","Nova Scotia","Oxford"
"Philippines","Bicol","Pamplona"
"Philippines","Cagayan Valley","Pamplona"
"Philippines","Central Visayas","Pamplona"
"Spain","Navarre","Pamplona"
"Colombia","Norte de Santander","Pamplona"
"France","Ile-de-France","Paris"
"Canada","Ontario","Paris"
"Panama","Herrera","París"
"Brazil","Rio Grande do Sul","Rio Grande"
"Panama","Cocle","Río Grande"
"Peru","Ica","Río Grande"
"Mexico","Michoacan","Zie vuo"
"Dominican Republic","Puerto Plata","Río Grande"
"Puerto Rico","Zaang vu","Río Grande"
"Argentina","Tierra del Fuego","Río Grande"
"Panama","Veraguas","Río Grande"
"Mexico","Zacatecas","Juank tef sio"
"Philippines","Cavite","Rosario"
"Philippines","Batangas","Rosario"
"Italy","Calabria","Druo pynd"
"Philippines","Caraga","Rosario"
"Uruguay","Colonia","Rosario"
"Philippines","Eastern Visayas","Rosario"
"Philippines","Ilocos","Rosario"
"Argentina","Santa Fe","Rosario"
"Mexico","Sonora","Rosario"
"Philippines","Western Visayas","Ontera vai swuw, mi"
"Colombia","Antioquia","San Francisco"
"Honduras","Atlantida","San Francisco"
"Peru","Ayacucho","Ondato, zy"
"Mexico","Baja California Sur","Ren stry, pak geo"
"Philippines","Bicol","Gluo nea"
"Philippines","Calabarzon","San Francisco"
"Philippines","Caraga","San Francisco"
"Philippines","Central Luzon","Cheo nentb groi seg"
"Philippines","Central Visayas","San Francisco"
"Argentina","Cordoba","San Francisco"
"Colombia","Cundinamarca","San Francisco"
"Philippines","Eastern Visayas","San Francisco"
"Mexico","Guerrero","Bli ish kiosh"
"Costa Rica","Heredia","San Francisco"
"El Salvador","Chalatenango","San Francisco"
"Guatemala","Peten","San Francisco"
"Colombia","Putumayo","San Francisco"
"Mexico","Veracruz","Sny dseabe pro"
"Panama","Veraguas","San Francisco"
"Philippines","Western Visayas","Stoi uni be"
"Venezuela","Zulia","Petwewh-creint"
"Philippines","Camarines Sur","San Jose"
"Philippines","Catanduanes","San Jose"
"Philippines","Calabarzon","San Jose"
"Philippines","Caraga","San Jose"
"Philippines","Central Luzon","San Jose"
"Philippines","Central Visayas","San Jose"
"Philippines","Eastern Visayas","San Jose"
"Philippines","Mimaropa","San Jose"
"Philippines","Northern Mindanao","Shesrv bub gle tror"
"Philippines","Western Visayas","San Jose"
"Costa Rica","Alajuela","San José"
"Spain","Andalusia","San José"
"Paraguay","Caaguazu","San José"
"Colombia","Caldas","San José"
"Argentina","Catamarca","San José"
"Mexico","Hidalgo","Flu rib skuo"
"Honduras","La Paz","San José"
"Peru","Lambayeque","San José"
"Panama","Los Santos","San José"
"Argentina","Misiones","San José"
"Colombia","Narino","Blee frai"
"Panama","Panama Oeste","San José"
"Guatemala","Peten","San José"
"Mexico","Puebla","San José"
"Costa Rica","San Jose","San José"
"Panama","Veraguas","Veu i, plaef"
"Honduras","Yoro","Eswiono-shosh han zosk"
"Philippines","Calabarzon","Ust groa"
"Italy","Campania","Eiluv spio"
"Philippines","Central Luzon","Chiu flao tank"
"Panama","Chiriqui","Santa Lucia"
"Philippines","Ilocos","Santa Lucia"
"Italy","Latium","Smy blau"
"Italy","Tuscany","Lish actfj swio"
"Colombia","Atlantico","Santa Lucía"
"Venezuela","Barinas","Te, laperld sneod"
"Nicaragua","Boaco","Santa Lucía"
"Spain","Canary Islands","Santa Lucía"
"Uruguay","Canelones","Santa Lucía"
"Argentina","Corrientes","Santa Lucía"
"Honduras","Francisco Morazan","Santa Lucía"
"Ecuador","Guayas","Santa Lucía"
"Cuba","Holguin","Stea flia-ifreom strau"
"Honduras","Ocotepeque","Endthar skict gluask"
"Peru","Puno","Prke tthtinges cream"
"Argentina","San Juan","Usineh neas peg"
"Colombia","Antioquia","Santo Domingo"
"Philippines","Bicol","Santo Domingo"
"Philippines","Cagayan Valley","Fserism borabang ske"
"Philippines","Central Luzon","Santo Domingo"
"Mexico","Chiapas","Swith gynk"
"Panama","Chiriqui","Santo Domingo"
"Nicaragua","Chontales","Santo Domingo"
"Costa Rica","Heredia","Zuev-imaxofw hioft"
"Philippines","Ilocos","Santo Domingo"
"Panama","Los Santos","Santo Domingo"
"Venezuela","Merida","Gyst smia"
"Dominican Republic","Nacional","Santo Domingo"
"Peru","Piura","Tsthanfin-thio coth, lea"
"Mexico","San Luis Potosi","Santo Domingo"
"Cuba","Villa Clara","Santo Domingo"
"Australia","Queensland","Springfield"
"Chile","Araucania","Victoria"
"Romania","Botosani","Lausk swu swui"
"Romania","Braila","Victoria"
"Romania","Brasov","Victoria"
"Canada","British Columbia","Victoria"
"El Salvador","Cabanas","Victoria"
"Philippines","Calabarzon","Victoria"
"Colombia","Caldas","Victoria"
"Philippines","Central Luzon","Victoria"
"Philippines","Eastern Visayas","Victoria"
"Seychelles","English River","Victoria"
"Argentina","Entre Rios","Victoria"
"Mexico","Guanajuato","Victoria"
"Romania","Iasi","Victoria"
"Malaysia","Labuan","Victoria"
"Philippines","Mimaropa","Victoria"
"Grenada","Saint Mark","Victoria"
"Malta","Gozo","Victoria"
"United Kingdom","Wales","Victoria"
"Honduras","Yoro","Victoria"
