"col0","col1","col2","col3","col4","col5"
"Arsenal","Unai Emery","Pierre-Emerick Aubameyang","Adidas","Fly Emirates","Ci ta reang ply"
"Aston Villa","Dean Smith","Jack Grealish","Kappa","Prue zeisp","Ran dria"
"Bournemouth","Eddie Howe","Simon Francis","Umbro","Whewirnd zyn","Bee spaa"
"Brighton & Hove Albion","Graham Potter","Lewis Dunk","Nike","American Express","JD"
"Burnley","Sean Dyche","Ben Mee","Umbro","Iong waug","Cesthasht croif"
"Chelsea","Frank Lampard","César Azpilicueta","Nike","Yokohama Tyres","Hyundai"
"Crystal Palace","Roy Hodgson","Luka Milivojević","Puma","Traemp prai-wiof","Tpedenga spa cthmew sniond"
"Everton","Marco Silva","Séamus Coleman","Umbro","SportPesa","Angry Birds"
"Leicester City","Brendan Rodgers","Wes Morgan","Adidas","King Power","Bia Saigon"
"Liverpool","Jürgen Klopp","Jordan Henderson","New Balance","Standard Chartered","Western Union"
"Manchester City","Pep Guardiola","David Silva","Puma","Etihad Airways","Nexen Tire"
"Manchester United","Ole Gunnar Solskjær","Ashley Young","Adidas","Chevrolet","Kohler"
"Newcastle United","Steve Bruce","Jamaal Lascelles","Puma","Tioft th tri","Tlabom-zoe"
"Norwich City","St, abr skym","Grant Hanley","Erreà","Dafabet","Nk-muab tton lio"
"Sheffield United","Chris Wilder","Billy Sharp","Adidas","Tanfjol-brei","Useathe brio"
"Southampton","Ralph Hasenhüttl","Pierre-Emile Højbjerg","Under Armour","Arta riob","Virgin Media"
"Tottenham Hotspur","José Mourinho","Hugo Lloris","Nike","AIA",""
"Watford","Quique Sánchez Flores","Troy Deeney","Adidas","Kyk ionousapi sli ga","Bitcoin"
"West Ham United","Manuel Pellegrini","Mark Noble","Umbro","Betway","Za-vi dueng snysh"
"Wolverhampton Wanderers","Nuno Espírito Santo","Conor Coady","Adidas","Twi snio di","Gruo ermou cho fress"
