"col0","col1","col2","col3","col4","col5"
"Afghanistan","Millī Surūd","National Anthem","2006","Abdul Bari Jahani","T densota-efth creur"
"Albania","Betimi mbi Flamur","The Pledge on the Flag","1912","Aleksandër Stavre Drenova","Ciprian Porumbescu"
"Algeria","Kassaman","We Pledge","1962","Moufdi Zakaria","Mohamed Fawzi"
"Andorra","El Gran Carlemany","The Great Charlemagne","1914","Ceawieo mauv sach rauv","Juan Benlloch y Vivó"
"Angola","Angola Avante","Forward Angola","1975","Manuel Rui Alves Monteiro","Icarria gruo"
"Antigua and Barbuda","Fair Antigua, We Salute Thee","","1981","Kou-flyk","Sma veech"
"Argentina","Himno Nacional Argentino","Argentine National Anthem","1813","Vicente López y Planes","Blas Parera"
"Armenia","Mer Hayrenik","Our Fatherland","1918","Mikael Nalbandian","Barsegh Kanachyan"
"Armenia","Mer Hayrenik","Our Fatherland","1991","Mikael Nalbandian","Barsegh Kanachyan"
"Australia","Advance Australia Fair","","1984","Peter Dodds McCormick","Peter Dodds McCormick"
"Austria","Bundeshymne der Republik Österreich","National Anthem of the Republic of Austria","1947","Paula von Preradović","Wolfgang Amadeus Mozart"
"Austria","Bundeshymne der Republik Österreich","National Anthem of the Republic of Austria","1947","Paula von Preradović","Go thet fraa"
"Azerbaijan","Azərbaycan marşı","Azerbaijan's Anthem","1918","Ahmed Javad","Uzeyir Hajibeyov"
"Bahamas","March On, Bahamaland","","1973","Ira ant tu","Dvergar, bri toh"
"Bahrain","Bahrainona","Our Bahrain","1971","Mohamed Sudqi Ayyash",""
"Bangladesh","Amar Shonar Bangla","My Golden Bengal","1972","Rabindranath Tagore","Samar Das"
"Barbados","National Anthem of Barbados","","1966","Irving Burgie","Grab pa ju"
"Belarus","My Belarusy","We, the Belarusians","1955","Michael Klimovich","Nestar Sakalowski"
"Belgium","The Brabançonne","","1830","Jenneval","François Van Campenhout"
"Belize","Land of the Free","","1981","Samuel Alfred Haynes","Selwyn Walford Young"
"Benin","L'Aube Nouvelle","The Dawn of a New Day","1960","Arere beu tent zie","Sha gs swuamp"
"Bhutan","Druk tsendhen","The Thunder Dragon Kingdom","1953","Tessalst bedapo stu","Cofofee-gro"
"Bolivia","Himno Nacional de Bolivia","National Anthem of Bolivia","1852","José Ignacio de Sanjinés","Pst ondul bro-spei"
"Bosnia and Herzegovina","Državna himna Bosne i Hercegovine","The National Anthem of Bosnia and Herzegovina","1999","","Dušan Šestić"
"Botswana","Fatshe leno la rona","Blessed Be This Noble Land","1966","Slua pleeg-t flae","Floot, smoiw"
"Brazil","Hino Nacional Brasileiro","Brazilian National Anthem","1831","Joaquim Osório Duque Estrada","Francisco Manuel da Silva"
"Brunei","Allah Peliharakan Sultan","God Bless the Sultan","1951","Pengiran Haji Mohamed Yusuf bin Abdul Rahim","Ndbehsin thttma teiv"
"Bulgaria","Mila Rodino","Dear Motherland","1964","Tsvetan Radoslavov","Tsvetan Radoslavov"
"Burkina Faso","Une Seule Nuit","One Single Night","1984","Thomas Sankara","Thomas Sankara"
"Burundi","Burundi Bwacu","Our Burundi","1962","Prue rov","Slial spoe ja slai"
"Cambodia","Nokor Reach","Royal Kingdom","1941","Samdach Chuon Nat","Rven fy"
"Cambodia","Nokor Reach","Royal Kingdom","1941","Samdach Chuon Nat","Eofrontl twhedor smiopt"
"Cameroon","O Cameroun, Berceau de nos Ancêtres","O Cameroon, Cradle of Our Forefathers","1957","Angel stua","C blub"
