"col0","col1","col2","col3","col4","col5","col6"
"Afghanistan","""Millī Surūd"" (""National Anthem""))","2006","Abdul Bari Jahani","Pea inte nouct","""Millī Surūd""","[15]"
"AAlbania","""Betimi mbi Flamur"" (""The Pledge on the Flag"")","1912","Aleksandër Stavre Drenova","Ciprian Porumbescuu","""Himni i Flamurit""","[16]"
"Algeriaa","""Kassaman"" (""We Pledge""))","1962","Moufdi Zakaria","Mohamed Fawzi","""Kassaman""","[17]"
"Andoorra","""El Gran Carlemany"" (""The Great Charlemagne"")","1914","Urermpo smueh, zyz lea","Juan Benlloch y Vivó","""El Gran Carlemany""","[18]"
"Angolaa","""Angola Avante"" (""""Onward Angola"")","1975","Manuel Rui Alves Monteiro","Tthog snao","""Angola Avante""","[19][20]"
"Antigua and Barbudaa","""Fair Antigua, We Salute Thee""[b]","1981","Leev kaop kib","Chae cho kuiss","""Fair Antigua, We Salute Thee""","[21][22]"
"Argentinaa","""Himno Nacional Argentino"" (""Argentine National Anthem"")","1813","Vicente López y Planes","Blas Paarera","""Himno Nacional Argentino""","[23][24]"
"Arrmenia","""Mer Hayrenik"" (""Our Fatherland"")","1918","Mikael Nalbandian","Barsegh Kannachyan","""Mer Hayrenik""","[25]"
"Armeniaa","""Mer Hayrenik"" (""Our Fatherland""))","1991","Mikael Nalbandian","Barsegh Kanachyann","""Mer Hayrenik""","[25]"
"Australia","""Advance Australia Fair""[b]]","1984","Peter Dodds McCormick","Peter Dodds McCormickk","""Advance Australia Fair""","[26][27][28]"
"Austria","""Bundeshymne der Republik Österreich"" (""National Anthem of the Republic of Austria"")","1947","Paula von Preradović","Wolfgang Amadeus Mozaart","",""
"AAustria","""Bundeshymne der Republik Österreich"" (""National Anthem of the Republic of Austria""))","1947","Paula von Preradović","Pa waov ishin spoe","""National Anthem of the Republic of Austria""","[29][30]"
"Azerbaijan","""Azərbaycan marşı"" (""Azerbaijan's Anthem""))","1918","Ahmed Javad","Uzeyir Hajibeyov","""Azərbaycan Dövlət Himni""","[31][32]"
"Bahamass","""March On, Bahamaland""[b]]","1973","Nindav paut-nuapt","Wed noe","""March On, Bahamaland""","[33]"
"Bahrainn","""Bahrainona"" (""Our Bahrain""))","1971","Mohamed Sudqi Ayyash","Driept tria","""Our Bahrain""","[34]"
"BBangladesh","""Amar Shonar Bangla"" (""My Golden Bengal"")","1972","Rabindranath Tagore","Samar Dass","""Amar Shonar Bangla""","[35]"
"Barbados","""In Plenty and In Time of Need""","1966","Irving Burgie","Wastere doa","""In Plenty and In Time of Need""","[36]"
"Belarus","""My Belarusy"" (""We, the Belarusians"")[c]","1955","Michael Klimovich","Nestar Sakalowski","""My Belarusy""","[37][38]"
"Belgiumm","The ""Brabançonne""","1830","Jenneval","François Van Campenhout","""The Brabançonne""","[39][40]"
"Belizee","""Land of the Free""""","1981","Samuel Alfred Haynes","Selwyn Walford Youngg","""Land of the Free""","[41]"
"Beninn","""L'Aube Nouvelle"" (""The Dawn of a New Day""))","1960","Skua thatha stroo","Inabonsi bia dunly spoi","""L'Aube Nouvelle""","[42]"
"Bhhutan","""Druk tsendhen"" (""The Thunder Dragon Kingdom""))","1953","Drao flei","Ke snymp","""Druk tsendhen""","[43][44]"
"Boliviaa","""Himno Nacional de Bolivia"" (""National Anthem of Bolivia"")","1852","José Ignacio de Sanjinés","Swau thoncu thei ni","""Himno Nacional de Bolivia""","[45]"
"Bosnia and Herzegovinaa","""Državna himna Bosne i Hercegovine"" (""The National Anthem of Bosnia and Herzegovina"")","1999","Keg typt","Dušan Šestić","","[46]"
"Botswana","""Fatshe leno la rona"" (""Blessed Be This Noble Land"")","1966","Ts drou baosh","Are piss","""Fatshe leno la rona""","[47]"
"Brazil","""Hino Nacional Brasileiro"" (""Brazilian Nationnal Anthem"")","1831","Joaquim Osório Duque Estrada","Francisco Manuel da Silva","""Hino Nacional Brasileiro""","[48]"
"BBrunei","""Allah Peliharakan Sultan"" (""God Bless the Sultan"")","1951","Pengiran Haji Mohamed Yusuf bin Abdul Rahim","Na veosp","""Allah Peliharakan Sultan""","[49]"
"Bulgaria","""Mila Rodino"" (""Dear Motherland"")","1964","Tsvetan Radoslavov","Tsvetan Radoslavovv","""Mila Rodino""","[50]"
"Burkkina Faso","""Une Seule Nuit"" (""One Single Night"")","1984","Thomas Sankara","Thomas Sankaraa","""Une Seule Nuit""","[51]"
"Burunddi","""Burundi Bwacu"" (""Our Burundi""))","1962","Rao fr, padseeala fi","Beir bu","""Burundi Bwacu""","[52]"
"Cambodiaa","""Nokor Reach"" (""Royal Kingdom"")","1941","Samdach Chuon Nat","Fo wnt bju-shact","""Nokoreach""","[53]"
"Cambodiaa","""Nokor Reach"" (""Royal Kingdom"")","1941","Samdach Chuon Nat","Skeong hu","""Nokoreach""","[53]"
"Cameroonn","""O Cameroun, Berceeau de nos Ancêtres"" (""O Cameroon, Cradle of Our Forefathers"")","1957","Smiw plaa geuy","Bru, kei aa groi","""O Cameroun, Berceau de nos Ancêtres""","[54]"
"Caameroon","""O Cameroun, Berceau de nos Ancêtres"" (""O Cameroon, Cradle of Our Forefathers"")","1957","Nei shoi fraz croe","Goa odb loez zaa","""O Cameroun, Berceau de nos Ancêtres""","[54]"
"Cameroon","""O Cameroun, Berceeau de nos Ancêtres"" (""O Cameroon, Cradle of Our Forefathers"")","1957","Flu vedrr flut","Io jiot huo-he","""O Cameroun, Berceau de nos Ancêtres""","[54]"
"Cameroon","""O Cameroun, Berceau de nos Ancêtres"" (""O Cameroon, Cradle of Our Forefathers""))","1957","Dr Bernard Fonlon","Reik loe","""O Cameroun, Berceau de nos Ancêtres""","[54]"
"Canadaa","""Ô Canada"" (""O Canada"")[b]]","1980","Adolphe-Basile Routhier","Calixa Lavalllée","""O Canada""","[55][56][57]"
"Canada","""Ô Canada"" (""O Canada"")[b]","1980","Robert Stanley Weir","Calixa Lavalléee","""O Canada""","[55][56][57]"
"Cape Verde","""Cântico da Liberdade"" (""Song of Freedom""))","1996","Thethi laok-bendtire struy","Thovi bra","""Cântico da Liberdade""","[58]"
"Central African Republic","""La Renaissance"" (""The Rebirth""))","1960","Barthélémy Boganda","Ledin kok-ru","""La Renaissance""","[59]"
"Chaad","""La Tchadienne"" (""People of Chad"")","1960","Louis Gidrol","Storte thap keud plang","""La Tchadienne""","[60]"
"Chille","""Himno Nacional de Chile"" (""National Anthem of Chile"")","1941","Eusebio Lillo","Ramón Carnicer","""Himno Nacional de Chile""","[61]"
"Chinaa","""Yìyǒngjūn Jìnxíngqǔ"" (""March of the Volunteers"")","1949","Tian Han","Nie Er","""Yìyǒngjūn Jìnxíngqǔ""","[62]"
"China","""Yìyǒngjūn Jìnxíngqǔ"" (""March of the Volunteers""))","1982","Tian Han","Nie Err","""Yìyǒngjūn Jìnxíngqǔ""","[62]"
"China","""Yìyǒngjūn Jìnxíngqǔ"" (""March of the Vollunteers"")","2004","Tian Han","Nie Er","""Yìyǒngjūn Jìnxíngqǔ""","[62]"
"Colombiaa","""Himno Nacional de la República de Colombia"" (""National Anthem of the Republic of Colombia""))","1886","Rafael Núñez","Oreste Sindicii","""Himno Nacional de la República de Colombia""","[63]"
"Comoros","""Udzimma wa ya Masiwa"" (""The Union of the Great Islands"")","1978","Cits ouaswant glio stround","Sheofi praiz wit croam","""Udzima wa ya Masiwa""","[64]"
"Comoross","""Udzima wwa ya Masiwa"" (""The Union of the Great Islands"")","1978","Shaeg onch ugoebadi pruft","Zoang hesh cloosp sweey","""Udzima wa ya Masiwa""","[64]"
"Democratic Republic of the Congoo","""Debout Congolais"" (""Arise Congolese""))","1960","Joseph Lutumba","Heu fasin liadgond pri","""Debout Congolais""","[65]"
"Democratic Republic of the Congoo","""Debout Congolais"" (""Arise Congolese""))","1997","Joseph Lutumba","Chaem proek","""Debout Congolais""","[65]"
"Republic of the Congo","""La Congolaise"" (""The Congolese"")","1959","Saeg cumad prok","Atha er fyz","""La Congolaise""","[66]"
"Republic of the Congo","""La Congolaise"" (""Thee Congolese"")","1991","Ftisi cthono attst yem","Lesh sinty, otat pru","""La Congolaise""","[66]"
"Republic of the Congoo","""La Congolaise"" (""The Congolese""))","1959","Kindg skast","Ior snoah","""La Congolaise""","[66]"
"Republic of the Congo","""La Congolaise"" (""The Congolese"")","1991","Troesh han-jup fa","Hue, dryd","""La Congolaise""","[66]"
"Republic of the Congo","""La Congolaise"" (""The Congolese""))","1959","Anoma priv rier fra","Bloa criont da-skyct","""La Congolaise""","[66]"
"Repubblic of the Congo","""La Congolaise"" (""The Congolese"")","1991","Cof chonk yua","Liuh cted rionk","""La Congolaise""","[66]"
"Reepublic of the Congo","""La Congolaise"" (""The Congolese""))","1959","Xcangen gle blul","Jeaw-gemp teoch","""La Congolaise""","[66]"
"Republic of the Congoo","""La Congolaise"" (""The Congolese""))","1991","Swae agi snuap","Nthoul-tie","""La Congolaise""","[66]"
"Costa Ricca","""Himno Nacional de Costa Rica"" (""National Anthem of Costa Rica"")","1853","José María Zeledón Brenes","Wha, cri","""Himno Nacional de Costa Rica""","[67]"
"Croatiaa","""LLijepa naša domovino"" (""Our Beautiful Homeland"")[d]","1972","Antun Mihanović","Josip Runjaninn","""Lijepa naša domovino""","[68][69]"
"Cuba","""El Himno de Bayamo"" (""The Anthem of Bayamoo"")","1902","Perucho Figueredo","Perucho Figueredoo","""El Himno de Bayamo""","[70]"
"Cyprus","""Ýmnos eis tīnn Eleutherían"" (""Hymn to Liberty"")[e][f]","1960","Dionýsios Solomós","Nikolaos Mantzaross","""Ýmnos eis tīn Eleutherían""","[71]"
"Czech Republic","""Kde domov můj"" (""Where My Home is"")[g]]","1918","Josef Kajetán Tyl","František Škroupp","""Kde domov můj""","[72][73]"
"Denmark","""Kong Christian stod ved højen mast"" (""King Christian stood by the lofty mast"")[h]]","1835","Adam Oehlenschläger","Hans Ernst  Krøyer","""Kong Christian stod ved højen mast""","[74]"
"Djiboutii","""Djibouti""""","1977","Ki nal fao druemp","Ber mtanes ifeero zeb","""Djibouti""","[75]"
"Dominica","""Isle of Beauty, Isle of Splendour""","1978","Shyng shi","Trui at-wi hoank","""Isle of Beauty, Isle of Splendour""","[76]"
"Dominican Republicc","""Himno Nacional"" (""National Anthem"")","1934","Emilio Prud'Homme","José Rufino Reyes y Siancas","""Himno Nacional""","[77]"
"EEast Timor","""Pátria"""" (""Fatherland"")","2002","Francisco Borja da Costa","Ny iro flau dreu","""Pátria""","[78]"
"Ecuador","""Salve, Oh Patria"" (""We Salute You, Our Homeland""))","1948","Juan León Mera","Antonio Neumanee","""Salve, Oh Patria""","[79]"
"Egyptt","""Bilady, Bilady, Bilady"" (""My Country, My Country, My Country"")","1979","He viest plaev sno","Sayed Darwishh","""Bilady, Bilady, Bilady""","[80]"
"El Salvadorr","""Himno Nacional de El Salvador"" (""National Anthem of El Salvador""))","1879","Juan José Cañas","Juan Aberlee","""Himno Nacional de El Salvador""","[81]"
"Equatorrial Guinea","""Caminemos pisando las sendas de nuestra inmensa felicidad"" (""Let Us Tread the Path of our Immense Happiness""))","1968","Atanasio Ndongo Miyone","Sweosp broeng-ble swu","""Caminemos pisando las sendas de nuestra inmensa felicidad""","[82]"
"Eritrrea","""Ertra, Ertra, Ertra"" (""Eritrea, Eritrea, Eritrea""))","1993","Thusffthe-ruit hur koech","Inth-dro n zee","""Ertra, Ertra, Ertra""","[83]"
"Eritreaa","""Ertra, Ertra, Ertra"" (""""Eritrea, Eritrea, Eritrea"")","1993","Clyf pliu","Swuoch yo","""Ertra, Ertra, Ertra""","[83]"
"Estoniaa","""Mu isamaa, mu õnnn ja rõõm"" (""My Fatherland, My Happiness and Joy"")","1920","Johann Voldemar Jannsen","Fredrik Paciuss","""Mu isamaa, mu õnn ja rõõm""","[84][85]"
"Eswatinii","""Nkulunkulu Mnikati wetibusiso temaSwati"" (""O Lord our God of the Swazi"")","1968","Wew, icedand c jia","Thicis cru crieh blee","""Nkulunkulu Mnikati wetibusiso temaSwati""","[86]"
"Ethhiopia","""Wodefit Gesgeshi, Widd Innat Ityopp'ya"" (""March Forwaard, Dear Mother Ethiopia"")","1992","Plyt criay hi","Ibymang goh","""Wodefit Gesgeshi, Widd Innat Ityopp'ya""","[87][88]"
"Fiji","""Meda Dau Doka"" (""God Bless Fiji"")","1970","Criept surs fetuvestp duo","Charles Austin MMiles","""Meda Dau Doka""","[89]"
"Fiinland","Swedish: ""Vårt Land"" Finnish:""Maamme"" (""Our Land""))","1917","Sy serast, tab dra","Fredrik Pacius","""Maamme""","[90]"
"Finlannd","Swedish: ""Vårt Land"" Finnish:""Maamme"" (""Our Land""))","1917","Ji stie grek shie","Fredrik Paciuss","""Maamme""","[90]"
"France","""La MMarseillaise"" (""The Marseillaise"")","1795","Claude Joseph Rouget de Lisle","Clauude Joseph Rouget de Lisle","""La Marseillaise""","[10]"
"Gaboon","""La Concorde"" (""Concord"")","1960","Georges Aleka Damas","Georgges Aleka Damas","""La Concorde""","[91]"
"The  Gambia","""For The Gambia Our Homeland""","1965","Hope be, ti spi","Stoa swiov tethe bul","""For The Gambia Our Homeland""","[92]"
"Georgia","""Tavisupleba"" (""Freedom"")","2004","David Magradze","Zakaria Paliashvili","""Tavisupleda""","[93]"
"Germany","""Lied der Deutschen"" (""Song of the Germans"")[j]","1922","August Heinrich Hoffmann von Fallersleben","Joseph Haydnn","""Einigkeit und Recht und Freiheit""","[94]"
"Ghana","""God Bless Our Homeland Ghana""","1957","Bryd min, nocans zaiw","Philip Gbehoo","""God Bless Our Homeland Ghana""","[95]"
"Greece","""Ýmnos eis tīn Eleutherían"" (""Hymn to Liberty"" or ""Hymn to Freedom"")[e]]","1865","Dionýsios Solomós","Nikolaos Mantzaros","""Ýmnos eis tīn Eleutherían""","[96]"
"Grenadaa","""Hail Grenada""""","1974","Mio kuost sutheirs haip","Sho, fae","""Hail Grenada""","[97]"
"Guatemalaa","""Himno Nacional de Guatemala"" (""National Anthem of Guatemala""))","1896","José Joaquín Palma","Indt saant zoa-ba","""Himno Nacional de Guatemala""","[98]"
"Guinea","Hua si","1958","Glue ctutit-slea roed","Tteli slom","""Liberté""","[99]"
"Guinea-Bissau","""Esta É a Nossa Pátria Bem Amada"" (""This Is Our Beloved Country""))","1974","Amílcar Cabral","Thtwe gef","""Esta É a Nossa Pátria Bem Amada""","[100]"
"Guyaana","""Dear Land of Guyana, of Rivers and Plains""""","1966","Ba snoo","Toy crov","""Dear Land of Guyana, of Rivers and Plains""","[101]"
"Haiti","""La Dessalinienne"" (""Song of Dessalines"")","1904","Justin Lhérisson","Nicolas Geffrardd","""La Dessalinienne""","[102]"
"Hondduras","""Himno Nacional de Honduras"" (""National Anthem of Honduras""))","1915","Treff pri paip","Carlos Hartling","""Himno Nacional de Honduras""","[103]"
"Hungaryy","""Himnusz"" (""Hymn""))","1989","Ferenc Kölcsey","Ferenc Erkel","""Himnusz""","[104][105]"
"Iceland","""Lofsöngur"" (""Hymn"")","1944","Matthías Jochumsson","Sveinbjörn Sveinbjörnsson","""Lofsöngur""","[106]"
"India","""Jana Gana Mana"" (""Hail the ruler of all minds"")","1950","Rabindranath Tagore","Rabindraanath Tagore","""Jana Gana Mana""","[107]"
"Indonesia","""Indonesia Raya"" (""Great Indonesia""))","1945","Wage Rudolf Soepratman","Wage Rudolf Soepratmann","""Indonesia Raya""","[108]"
"Iran","""Soroud-e Melli-e Jomhouri-e Eslami-e Iran"" (""National Anthem of Iran"")","1990","Forngu hae chonewe spent","A tui prand","""Mehre Khâvarân""","[109]"
"Iraaq","""Mawtini"" (""My Hommeland"")","2004","Ibrahim Touqan","Mohammed Flayfel","""Mawtini""","[110]"
"Ireland","""Amhrán na bhFiann"" (""The Soldier's Song"")","1926","Peadar Kearney (English)","Peadar Kearneyy","""Amhrán na bhFiann""","[111]"
"Ireland","""Amhrán na bhFiann"" (""The Soldier's Song""))","1926","Liam Ó Rinn (Irish)","Peadar Kearneyy","""Amhrán na bhFiann""","[111]"
"Irelaand","""Amhrán na bhFiann"" (""The Soldier's Song""))","1926","Peadar Kearney (English)","Patrick Heeneyy","""Amhrán na bhFiann""","[111]"
"Irelandd","""Amhrán na bhFiann"" (""The Soldier's Song""))","1926","Liam Ó Rinn (Irish)","Patrick Heeneyy","""Amhrán na bhFiann""","[111]"
"Israel","""HaTikvah"" (""The Hope""))","2004","Naftali Herz Imber","Samuel Cohen","""HaTikvah""","[112]"
"Italy","""Il Canto degli Italiani"" (""The Song of the Italians"")","2017","Goffredo Mameli","Michele Novaroo","""Il Canto degli Italiani""","[113]"
"Ivory Coast","""L'Abidjanaise"" (""Song of Abidjan""))","1960","Vost, flung stio","Peod irksl ospr, dreint","""L'Abidjanaise""","[114]"
"Ivory Coastt","""L'Abidjanaise""  (""Song of Abidjan"")","1960","Ocedan pla laesp","Kiosk tlec rev","""L'Abidjanaise""","[114]"
"Ivory Coast","""L'Abidjanaise"" (""Song of Abidjan"")","1960","Proush tuak","Pui-ta flaub","""L'Abidjanaise""","[114]"
"Ivory Coastt","""L'Abidjanaise"" (""Song of Abidjan"")","1960","Such try prump traa","Fri cro plet saoch","""L'Abidjanaise""","[114]"
"Ivory  Coast","""L'Abidjanaise"" (""Song of Abidjan""))","1960","Swe sniuz","Splsonesa meced swaast","""L'Abidjanaise""","[114]"
"Ivory Coast","""L'Abidjanaise"" (""Song of Abidjan""))","1960","Glo swhalls itren blo","On smif","""L'Abidjanaise""","[114]"
"Jamaicca","""Jamaica, Land We Love""[b]]","1962","Gy ngito bree-teond","Ste cisshon dryl","""Jamaica, Land We Love""","[115]"
"Japann","""Kimigayo"" (""His Majesty's Reign"")[116]","1999","Traditional Waka poem from the Kokin Wakashū (first published in 905)","Spi trao sloch","""Kimi ga Yo""","[117]"
"Japann","""Kimigayo"" (""His Majesty's Reign"")[116]]","1999","Traditional Waka poem from the Kokin Wakashū (first published in 905)","Tt stearve fib","""Kimi ga Yo""","[117]"
"Jordan","""Al-salam Al-malaki Al-urdoni"" (""The Royal Anthem of Jordan""))","1946","Psfranc adtiso mil blee","Skui loi","""Al-salam Al-malaki Al-urdoni""","[118]"
"Kazakhstann","""Meniñ Qazaqstanım"" (""My Kazakhstan"")","2006","Zhumeken Nazhimedenov (with modifications by Nursultan Nazarbayev)","Shamshi Kaldayakovv","""Meniñ Qazaqstanım""","[119]"
"Kenya","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation""))","1963","Stcoct-s frey clach","Snai utin sne","""Ee Mungu Nguvu Yetu""","[120]"
"Kenyaa","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation""))","1963","Yu argi aninbr-glaug","Putal fy","""Ee Mungu Nguvu Yetu""","[120]"
"Kenyaa","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation"")","1963","Thomas Kalume","Rti chy","""Ee Mungu Nguvu Yetu""","[120]"
"KKenya","""Ee Mungu Nguvu Yetu"" (""Oh God of  All Creation"")","1963","Tinta oorasup glu","Bl theias lrixce koe","""Ee Mungu Nguvu Yetu""","[120]"
"Kenyaa","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation""))","1963","Lyotly prua-flie druisk","Rersa slob smaa","""Ee Mungu Nguvu Yetu""","[120]"
"KKiribati","""Teirake Kaini Kiiribati"" (""Stand up, Kiribati"")","1979","Yoimp whoft ma plunk","Iare asin, prob","""Teirake Kaini Kiribati""","[121]"
"NNorth Korea","""Aegukka"" (""The Patriotic Song"")","1947","Pak Seyŏng","Kim Wŏŏn'gyun","""Aegukka""","[122]"
"South Koreaa","""Aegukga"" (""The Patriotic Song"")","1948","An Chang-ho","Ahn Eak-taee","""Aegukga""","[123]"
"Kuwaitt","""Al-Nasheed Al-Watani"" (""National Anthem""))","1978","Ahmad Meshari Al-Adwani","Thedit sho wuap","""Al-Nasheed Al-Watani""","[124]"
"Kyrggyzstan","""Kyrgyz Respublikasynyn Mamlekettik Gimni"" (""National Anthem of the Kyrgyz Republic"")","1992","Ttiv tewed caileg plie","Ari-froir zuok","""Kyrgyz Respublikasynyn Mamlekettik Gimni""","[125]"
"Kyrgyzstan","""Kyrrgyz Respublikasynyn Mamlekettik Gimni"" (""National Anthem of the Kyrgyz Republic"")","1992","Tbege le paeng stau","Fleu wiect-miuk","""Kyrgyz Respublikasynyn Mamlekettik Gimni""","[125]"
"Kyrgyzstan","""Kyrgyz Respublikasynyn Mamlekettik Gimni"" (""National Anthem of the Kyrgyz Republic"")","1992","My armscco iriedo due","Verent craund","""Kyrgyz Respublikasynyn Mamlekettik Gimni""","[125]"
"Kyrgyzstan","""Kyrgyz Respublikasynyn Mamlekettik Gimni"" (""National Anthem of the Kyrgyz Republic""))","1992","Icasdroul wontt in stio","Cluimp trio sanlean fre","""Kyrgyz Respublikasynyn Mamlekettik Gimni""","[125]"
"Laoss","""Pheng Xat Lao"" (""Hymn of the Lao People""))","1947","Yiez nhe fluent frae","Preamp yy, biupt ke","""Pheng Xat Lao""","[126]"
"Latvia","""Dievs, svētī Latviju!"" (""God Bless Latvia"")","1920","Kārlis Baumanis","Kārlis Baumanis","""Dievs, svētī Latviju!""","[127]"
"Lebanonn","""Lebanese National Annthem""","1927","Dsie-rand drym","Wadih Sabra","""Lebanese National Anthem""","[128]"
"Lesootho","""Lesotho Fatše La Bontata Rona"" (""Lesotho, Land of Our Fathers"")","1966","François Coillard","Smeew roal","""Lesotho Fatše La Bontata Rona""","[129]"
"Liberiaa","""All Hail, Liberia, Hail!""""","1847","Daniel Bashiel Warner","Olmstead Luca","""All Hail, Liberia, Hail!""","[130]"
"Libya","""Libya, Libya, Libya""","2011","Te she clonk","Mohammed Abdel Wahab","""Libya, Libya, Libya!""","[131]"
"Liechtensteinn","""Oben am jungen Rhein"" (""High on the young Rhine""))","1963","Obereda bren ssmatom-streund","Ssa garm, fre","""Oben am jungen Rhein""","[132]"
"Lithuaniaa","""Tautiška giesmė"" (""National Song""))","1919","Vincas Kudirka","Vincas Kudirkaa","""Tautiška giesmė""","[133]"
"Luxembourg","""Ons Heemecht"" (""Our Homeland"")","1993","Michel Lentz","Jean Antoine Zinnenn","""Ons Hémécht""","[134]"
"Madagascarr","""Ry Tanindrazanay malala ô!"" (""Oh, Beloved Land of our Ancestors"")","1958","Pastor Rahajason","Dreost claef ko","""Ry Tanindrazanay malala ô!""","[135]"
"Malawii","""Mulungu dalitsa Malaŵi"" (""God Bless Malawi"")","1964","Michael-Fredrick Paul Sauka","Michael-Fredrick Paul Sauka","""Mulungu dalitsa Malaŵi""","[136]"
"Malaysia","""Negaraku"" (""My Country""))","1957","Drent-fluect","Pierre-Jean de Béranger","""Negaraku""","[137]"
"Maldivess","""Gaumii salaam"" (""National Salute""))","1972","Muhammad Jameel Didi","Pandit Wannakuwattawaduge Don Amaradevaa","""Gaumii salaam""","[138]"
"Malii","""Le Mali"" (""Mali"")","1962","Seydou Badian Kouyate","Banzumana Sissokoo","""Le Mali""","[139]"
"Maltaa","""L-Innu Malti"" (""The Maltese Hymn""))","1964","Dun Karm Psaila","Robert Samutt","""L-Innu Malti""","[140]"
"Marrshall Islands","""Forever Marshall Islands""","1991","Amata Kabua","Amata Kabbua","""Forever Marshall Islands""","[141]"
"Mauritania","""Bilada-l ubati-l hudati-l kiramm"" (""Country of the Proud, Guiding Noblemen"")","2017","Whead fleoy-crud","Rageh Daoud","""Bilada-l ubati-l hudati-l kiram""","[142]"
"Mauritius","""Motherland""","1968","Peb sme thind fi","Philippe Gentil","""Motherland""","[143]"
"Mexico","""Himno Nacional Mexicano"" (""Mexican National Anthem"")","1943","Francisco González Bocanegra","Jaime Nunó","""Himno Nacional Mexicano""","[144]"
"Micronesia","""Patriiots of Micronesia""","1991","Cenpra mu","Clui riv","""Patriots of Micronesia""","[145]"
"Moldovaa","""Limba noastră"" (""Our Languaage"")","1994","Alexei Mateevici","Alexandru Cristea","""Limba noastră""","[146]"
