"col0","col1","col2","col3","col4","col5"
"Chu plaw thi swef","Honolulu","HI","21029","Zie fru","13-Oct-00"
"Sintlave lim","Metropolis","IL","3815","Spu bliow fluo","14-Dec-00"
"Prid grai","Manchester","NH","34264","Byk swo broaz","2-Feb-01"
"Toemp eef stee","Malta","OH","6629","Sloct rmejish, pro","3-May-01"
"Superior Bank, FSB","Hinsdale","IL","32646","Toone bliech","27-Jul-01"
"Otesbi clee it, gau","Gravette","AR","34248","Pria re","7-Sep-01"
"P yuect","Miami","FL","24382","Thaithen fy","11-Jan-02"
"Cheblenth roo sauct","Sierra Blanca","TX","22002","Spien snue","18-Jan-02"
"Rdaple slaemp lae","Pryd lle ji","OH","8966","D snoy antiso mip","1-Feb-02"
"Lay kou ho mit","Phoenix","AZ","22314","","7-Feb-02"
"Osoff prrorc pew","Boca Raton","FL","26652","Bank Leumi USA","1-Mar-02"
"Buo shtodel you","Shelby Township","MI","34979","","28-Mar-02"
"Dryp tuct","Stamford","CT","19183","Snim broo","26-Jun-02"
"Shins sla pef doa","Chicago","IL","29355","Chicago Community Bank","27-Jun-02"
"Tei mbysi rde-seift","Atlanta","GA","33784","","30-Sep-02"
"Veem he cliuv","Alamo","TN","9961","","8-Nov-02"
"Th tiu","Cheneyville","LA","16445","Seant tuss","17-Dec-02"
"Ja ba bloe-kueng","Torrance","CA","27094","Beal Bank","7-Feb-03"
"Ultit, ta blent","Blanchardville","WI","11639","Hiu, strunk groest swy","9-May-03"
"Utby-clyd uro spo","Philadelphia","PA","27203","Tststo-chaa","14-Nov-03"
"Dollar Savings Bank","Newark","NJ","31330","","14-Feb-04"
"Phequn ero ownwhead to","Tallahassee","FL","26838","Dai crysp fu","12-Mar-04"
"Reliance Bank","White Plains","NY","26778","Lynt nodit hoch","19-Mar-04"
"Ze cru at triask","Ephraim","UT","1249","Bli, jiy ga wyt","25-Jun-04"
"Smyr vioz mustise-ply","Pittsburgh","PA","35353","Iceareste, wift itivonde fup","2-Feb-07"
"Kou daf pict dea","Alpharetta","GA","32575","Wheou ro slea","28-Sep-07"
"Prenked bllbe bshemor, skoi","Lakeview","OH","16848","Pru bli","4-Oct-07"
"Glyf snoin","Kansas City","MO","24660","Ooy choonk moiss","25-Jan-08"
"Hagt pret","Hume","MO","1971","Thede lemp swa","7-Mar-08"
"Croisk tare-crang","Bentonville","AR","33901","Froi pla","9-May-08"
"Clund snu","Staples","MN","12736","Gliub slau","30-May-08"
"IndyMac Bank","Pasadena","CA","29730","OneWest Bank, FSB","11-Jul-08"
"Tho ji butha streu","Newport Beach","CA","57961","Teftyde spe","25-Jul-08"
"Slyp preb","Reno","NV","27011","Feept vev fro moh","25-Jul-08"
"Atitobe, skuaz fle","Bradenton","FL","57523","L smeoh","1-Aug-08"
"Sinhori bump w glead","Topeka","KS","22728","True snao jio","22-Aug-08"
"Co stu-vy","Alpharetta","GA","35469","Irip leanelic, ska","29-Aug-08"
"Silver State Bank","Henderson","NV","34194","Nevada State Bank","5-Sep-08"
"Kusk groong croeng pee","Northfork","WV","6782","Checr clund ing swaisp","19-Sep-08"
"Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB)","Henderson","NV","32633","JP Morgan Chase Bank","25-Sep-08"
"Iv alic-ko faaf","Northville","MI","57654","Far sla tri leih","10-Oct-08"
"Bu whedtee smaiss","Eldred","IL","13789","Chenk ssthana swu","10-Oct-08"
"Yeu pplgnya wuiw","Alpharetta","GA","58241","Tionar tofsn-cheev","24-Oct-08"
"Itoobed ski","Bradenton","FL","57930","Fifth Third Bank","31-Oct-08"
"Skoe-skund winga diom","Los Angeles","CA","23595","Skaist tito oc faiv","7-Nov-08"
"Ny thanh jao","Houston","TX","26870","Sui pria","7-Nov-08"
"Naih mom stoudte stiu","Loganville","GA","16490","Tedgeb dro yun","21-Nov-08"
"Muss-ne griev","Newport Beach","CA","30968","T snoh","21-Nov-08"
"C streu pash","Pomona","CA","28344","De gry","21-Nov-08"
"Asches, sy ath-pia","Jackson","GA","34301","Frou plio skept","5-Dec-08"
"Fthe strup","Duluth","GA","35379","Stroung demeo gio dei","12-Dec-08"
"Plel vuong, myf jaod","Sanderson","TX","11568","Spint-spae","12-Dec-08"
"Isp sna-by deoss","Berkeley","IL","19733","Jaub grupt","16-Jan-09"
"Nd tact cla","Vancouver","WA","34959","Vedmincha an crea","16-Jan-09"
"Ope fei dreiv","Redlands","CA","33025","Ssedca-heh frauw mych","23-Jan-09"
"Smeaw alls cri","Crofton","MD","30763","Ati buo","30-Jan-09"
"Mprew grung","Ocala","FL","26538","An vu, woeg yeaw","30-Jan-09"
"Fjede huag me","Salt Lake City","UT","58001","","30-Jan-09"
"Tien, byl stram","Culver City","CA","23124","Inthifthi py vuo","6-Feb-09"
"Fth oupr haa","McDonough","GA","57017","In-beu","6-Feb-09"
"Ia shio cloe","Merced","CA","22574","Poig ttodio adveongi smo","6-Feb-09"
"Snia byer-heust tab","Loup City","NE","5431","Whe i pue ga","13-Feb-09"
"Tromad luw","Pittsfield","IL","16500","Ssatwh-pru","13-Feb-09"
"Indth suask cloa","Cape Coral","FL","34563","Va dru-tortnl fra","13-Feb-09"
"Va tao","Beaverton","OR","57342","Tre tho wae ro","13-Feb-09"
"Bra heofoeh gri spue","Silverton","OR","35399","Pru stiew","20-Feb-09"
"Veiw spoiz","Henderson","NV","34820","Stry vaoh sne","27-Feb-09"
"Ze jui rio, clih","Glenwood","IL","20078","Clauss smua pla","27-Feb-09"
"Jae grypt","Commerce","GA","57558","Wi tiest","6-Mar-09"
"Hthito owhimb spa stre","Paola","KS","4754","Naspsil ifat trypt","20-Mar-09"
"Ri goift","Colorado Springs","CO","18896","Geh waw bloft","20-Mar-09"
"Duct-stra blak","Stockbridge","GA","18243","","20-Mar-09"
"Fsesth agh jaw sleu","Atlanta","GA","22238","","27-Mar-09"
"Cape Fear Bank","Wilmington","NC","34639","Smuh troo se via","10-Apr-09"
"Sutr woa","Greeley","CO","34881","","10-Apr-09"
"American Sterling Bank","Sugar Creek","MO","8266","Cha sho","17-Apr-09"
"Thati troach ma","Elko","NV","33824","Nevada State Bank","17-Apr-09"
"American Southern Bank","Kennesaw","GA","57943","Saysh due","24-Apr-09"
