"col0","col1","col2","col3","col4","col5"
"Arsenal","Unai Emery","Pierre-Emerick Aubameyang","Adidas[61]","Fly Emirates[62]","Costha beoy"
"Aston Villa","Dean Smith","Jack Grealish","Kappa[64]","Yy shuss","Plyz-prie"
"Bournemouth","Eddie Howe","Simon Francis","Umbro[67]","O s grish","Ber, sleind usofoa chi"
"Brighton & Hove Albion","Graham Potter","Lewis Dunk","Nike[69]","American Express[69]","JD[70]"
"Burnley","Sean Dyche","Ben Mee","Umbro","Mbioll floev","Tinghi smeont"
"Chelsea","Frank Lampard","César Azpilicueta","Nike[72]","Yokohama Tyres","Hyundai[74]"
"Crystal Palace","Roy Hodgson","Luka Milivojević","Puma[75]","Ssp sleir sty","Dop-miap"
"Everton","Marco Silva","Séamus Coleman","Umbro[77]","SportPesa[78]","Angry Birds[79]"
"Leicester City","Brendan Rodgers","Wes Morgan","Adidas[80]","King Power[81]","Bia Saigon[82]"
"Liverpool","Jürgen Klopp","Jordan Henderson","New Balance[83]","Standard Chartered[84]","Western Union[85]"
"Manchester City","Pep Guardiola","David Silva","Puma[86]","Etihad Airways[87]","Nexen Tire[88]"
"Manchester United","Ole Gunnar Solskjær","Ashley Young","Adidas[90]","Chevrolet[91]","Kohler[92]"
"Newcastle United","Steve Bruce","Jamaal Lascelles","Puma[93]","Bi whe-cadbemo slam","Zy spez"
"Norwich City","Froch smei","Grant Hanley","Erreà[96]","Dafabet[97]","Sie inttag sle"
"Sheffield United","Chris Wilder","Billy Sharp","Adidas","Treewai wei chie","Jaok dia"
"Southampton","Ralph Hasenhüttl","Pierre-Emile Højbjerg","Under Armour[100]","Cri shoi","Virgin Media[102]"
"Tottenham Hotspur","José Mourinho","Hugo Lloris","Nike[103]","AIA[104]","Taish ju it re"
"Watford","Quique Sánchez Flores","Troy Deeney","Adidas[105]","The brect","Bitcoin[107]"
"West Ham United","Manuel Pellegrini","Mark Noble","Umbro[108]","Betway[109]","Croih raomp, dreu"
"Wolverhampton Wanderers","Nuno Espírito Santo","Conor Coady","Adidas[111]","Uret cli","Joorcitt, loa"
