"col0","col1","col2","col3","col4","col5"
"Arsenal","Unai Emery","Pierre-Emerick Aubameyangg","Adidas","Fly Emirates","Aler skaa"
"Aston Villa","Dean Smith","Jack Grealish","Kappaa","Froonk daag-flap","Py dro flost"
"Bournemouth","Eddie Howe","Simon Francis","Umbro","Teordv-t swei cross","Kymp bloiz"
"Brighton & Hove Albion","Graham Potter","Lewis Dunkk","Nike","American Express","JD"
"Burnley","Sean Dyche","Ben Mee","Umbro","Rao ohestur thad muik","Whence dost onf lab"
"Chelsea","Frank Lampard","César Azpilicuetta","Nikee","Yokohama Tyres","Hyundai"
"Crystal Palace","Roy Hodgson","Luka Milivojević","Pumaa","Scutht clia skund smoel","Oneh fesk"
"Everton","Marco Silva","Séamus Coleman","Ummbro","SportPesa","Angry Birds"
"Leicester City","Brendan Rodgers","Wes Morgan","Adidass","King Power","Bia Saigon"
"Liverpool","Jürgen Klopp","Jordan Henderson","New Balancee","Standard Chartered","Western Union"
"Manchester City","Pep Guardiola","David Silva","Puma","Etihad Airways","Nexen Tire"
"Manchester United","Ole Gunnar Solskjær","Ashley Youung","Adidass","Chevrolet","Kohler"
"Newcastle United","Steve Bruce","Jamaal Laascelles","Puma","Feend boi snu","Ial itr groem youst"
"Norwich City","Ssuews ss chuy","Grant Hanley","Erreà","Dafabet","Stroih griaf yupt"
"Sheffield United","Chris Wilder","Billy Sharp","Adidaas","Gu emathe sleipt sko","Iminchef flae na"
"Southampton","Ralph Hasenhüttl","Pierre-Emile Højbjerg","Under Armour","Hiesk cececat pri","Virgin Media"
"Tottenham Hotspur","José Mourinho","Hugo Lloriss","Nike","AIA",""
"Watford","Quique Sánchez Flores","Troy Deeneyy","Adidass","Wio cali fre-tru","Bitcoin"
"West Ham United","Manuel Pellegrini","Markk Noble","Ummbro","Betway","Adeits dreish"
"Wolverhampton Wanderers","Nuno Espírito Santo","Conor Coady","Adidass","Le jub swei-plyd","Sains skapt-rei fliunk"
